"화면ID","화면명","어떤 자리","종류","권장 크기","지금 들어간 사진"
"BK-01","여행자 정보 입력","상품","시술","","여행 - 4.webp"
"BK-02","결제","상품","시술","","여행 - 6.webp"
"BK-03","예약 완료","상품","시술","","여행 - 7.webp"
"BK-05","예약 확정 대기","상품","시술","","여행 - 8.webp"
"BK-06","최소 인원 미달 안내","상품","시술","","여행 - 13.webp"
"BK-06","최소 인원 미달 안내","상품 대표","시술","1200×900","여행 - 18.webp"
"BK-06","최소 인원 미달 안내","상품 대표","시술","1200×900","여행 - 1.webp"
"BK-06","최소 인원 미달 안내","상품 대표","시술","1200×900","여행 - 17.webp"
"BK-06","최소 인원 미달 안내","상품 대표","시술","1200×900","여행 - 14.webp"
"CS-03","문의 내역","상품","시술","","여행 - 15.webp"
"CS-03","문의 내역","상품","시술","","여행 - 2.webp"
"CS-03","문의 내역","상품","시술","","여행 - 11.webp"
"CT-01","장바구니","상품","시술","","여행 - 4.webp"
"CT-01","장바구니","상품","시술","","여행 - 6.webp"
"CT-01","장바구니","상품","시술","","여행 - 7.webp"
"CT-01","장바구니","상품 대표","시술","1200×900","여행 - 8.webp"
"CT-01","장바구니","상품 대표","시술","1200×900","여행 - 13.webp"
"CT-01","장바구니","상품 대표","시술","1200×900","여행 - 18.webp"
"CT-01","장바구니","상품 대표","시술","1200×900","여행 - 1.webp"
"CT-02","장바구니 비어 있음","상품 대표","시술","1200×900","여행 - 17.webp"
"CT-02","장바구니 비어 있음","상품 대표","시술","1200×900","여행 - 14.webp"
"CT-02","장바구니 비어 있음","상품 대표","시술","1200×900","여행 - 15.webp"
"CT-02","장바구니 비어 있음","상품 대표","시술","1200×900","여행 - 2.webp"
"HO-01","홈","여행지","인물","400×400","인물 - 1.webp"
"HO-01","홈","여행지","인물","400×400","인물 - 2.webp"
"HO-01","홈","여행지","인물","400×400","인물 - 4.webp"
"HO-01","홈","여행지","인물","400×400","인물 - 5.webp"
"HO-01","홈","여행지","인물","400×400","인물 - 6.webp"
"HO-01","홈","여행지","인물","400×400","인물 - 7.webp"
"HO-01","홈","상품 대표","시술","1200×900","여행 - 11.webp"
"HO-01","홈","상품 대표","시술","1200×900","여행 - 4.webp"
"HO-01","홈","상품 대표","시술","1200×900","여행 - 6.webp"
"HO-01","홈","상품 대표","시술","1200×900","여행 - 7.webp"
"HO-01","홈","상품 대표","시술","1200×900","여행 - 8.webp"
"HO-01","홈","상품 대표","시술","1200×900","여행 - 13.webp"
"HO-01","홈","상품 대표","시술","1200×900","여행 - 18.webp"
"HO-01","홈","상품 대표","시술","1200×900","여행 - 1.webp"
"HO-01","홈","상품 대표","시술","1200×900","여행 - 17.webp"
"HO-01","홈","상품 대표","시술","1200×900","여행 - 14.webp"
"HO-01","홈","상품 대표","시술","1200×900","여행 - 15.webp"
"HO-01","홈","상품 대표","시술","1200×900","여행 - 2.webp"
"HO-01","홈","상품 대표","시술","1200×900","여행 - 9.webp"
"HO-01","홈","상품 대표","시술","1200×900","여행 - 10.webp"
"HO-01","홈","상품 대표","시술","1200×900","여행 - 16.webp"
"HO-01","홈","상품 대표","시술","1200×900","여행 - 12.webp"
"HO-01","홈","상품 대표","시술","1200×900","여행 - 20.webp"
"HO-01","홈","상품 대표","시술","1200×900","여행 - 5.webp"
"HO-01","홈","상품 대표","시술","1200×900","여행 - 19.webp"
"HO-01","홈","상품 대표","시술","1200×900","인물 - 8.webp"
"HO-01","홈","상품 대표","시술","1200×900","인물 - 9.webp"
"HO-01","홈","상품 대표","시술","1200×900","인물 - 12.webp"
"HO-01","홈","상품 대표","시술","1200×900","인물 - 13.webp"
"HO-01","홈","상품 대표","시술","1200×900","인물 - 14.webp"
"HO-01","홈","상품 대표","시술","1200×900","인물 - 15.webp"
"HO-01","홈","상품 대표","시술","1200×900","인물 - 16.webp"
"HO-01","홈","후기 사진","후기","1200×900","인물 - 17.webp"
"HO-01","홈","후기 사진","후기","1200×900","인물 - 18.webp"
"HO-01","홈","후기 사진","후기","1200×900","인물 - 19.webp"
"HO-01","홈","후기 사진","후기","1200×900","인물 - 20.webp"
"HO-01","홈","후기 사진","후기","1200×900","여행 - 5.webp"
"HO-01","홈","기획전 배너","시술","1600×900","여행 - 11.webp"
"HO-01","홈","기획전 배너","시술","1600×900","여행 - 4.webp"
"HO-01","홈","기획전 배너","시술","1600×900","여행 - 6.webp"
"HO-01","홈","기획전 배너","시술","1600×900","여행 - 7.webp"
"HO-02","여행지 홈","상품 대표","시술","1200×900","여행 - 8.webp"
"HO-02","여행지 홈","상품 대표","시술","1200×900","여행 - 13.webp"
"HO-02","여행지 홈","상품 대표","시술","1200×900","여행 - 18.webp"
"HO-02","여행지 홈","상품 대표","시술","1200×900","여행 - 1.webp"
"HO-02","여행지 홈","상품 대표","시술","1200×900","여행 - 17.webp"
"HO-02","여행지 홈","상품 대표","시술","1200×900","여행 - 14.webp"
"HO-02","여행지 홈","상품 대표","시술","1200×900","여행 - 15.webp"
"HO-02","여행지 홈","상품 대표","시술","1200×900","여행 - 2.webp"
"HO-02","여행지 홈","여행지 배너","시술","1600×900","여행 - 11.webp"
"HO-02","여행지 홈","여행지 배너","시술","1600×900","여행 - 4.webp"
"HO-02","여행지 홈","여행지 배너","시술","1600×900","여행 - 6.webp"
