날짜,루틴,팩,항목,무엇,근거파일,고침여부
2026-09-01,pack-qa-spec-a,LMS·뷰티샵·여행·공동구매,회차 / 분배표가 늦게 나옴,"내가 시작한 01:07 에는 검수/2026-09-01_분배.json 이 없었다(01:23 에 생겼다). 몫과 새지시를 몰라 ① 몫은 지난 회차대로 잡고 ② 새지시는 직접 git 으로 뽑아(마지막 검수일 2026-08-25 뒤 바뀐 파일) 일을 시작했다. 나중에 나온 분배표와 맞춰 보니 몫은 «똑같았고»(LMS·뷰티샵·여행·공동구매) 판매팩에 걸리는 새지시도 다 겹쳤다. 다만 분배(00:25)와 검수(01:07) 사이가 42분인데 분배가 그보다 늦게 끝나, 그 사이를 헛돌았다",검수/2026-09-01_분배.json · 루틴/_시각표.json,마무리에넘김(분배가 검수보다 늦게 끝난 까닭을 볼 것)
2026-09-01,pack-qa-spec-a,LMS·뷰티샵·여행·공동구매,새지시 / lib/design-presets.ts — 세로 flex 자식 min-width,"COMMON_RULES 에 「세로 flex 로 바꾼 상자의 자식에도 min-width:0 을 걸라」가 들어갔다. 내 몫 완성화면 8벌 모두 들어 있다 — 팩 쪽은 더 좁게 «.app-ed>main>*,.app>main>*,.page-wrap>main>*» 로 적혀 있어 글자만 맞대면 «없음»으로 헛짚는다(뜻으로 확인함). 지시가 「폭 390 에서는 안 보이고 360 에서만 나온다」고 해서 폭 360 으로 710쪽을 실제로 그려 다시 쟀다 — 걸린 팩 0개. 폭 390(710쪽·걸린 팩 0) 과 폭 1536(710쪽·0) 도 함께 쟀다","판매용_템플릿/_판매팩/{LMS,뷰티샵,여행,공동구매}_{디럭스,프리미엄}/완성화면/assets/css/base.css · _작업/레이아웃검사.mjs",해당없음
2026-09-01,pack-qa-spec-a,LMS·뷰티샵·여행·공동구매,새지시 / lib/export/template-verify.ts — 기계 검수 여섯 칸,8/25 에 붙은 여섯 칸(끊어진 링크 · 없는 그림 · 외톨이 화면 · 화면 수 · 글자 대비 · 굳은 날짜)이 08_검수시나리오.xlsx «안»에 실제로 들어갔는지 열어서 셌다 — 내 몫 8벌 모두 6/6(08 은 디럭스·프리미엄만 있는 것이 맞다). 판매팩 전체로도 16/16. 그 파일이 스스로 「스펙팩 7-9-2 와 한 벌이다」라고 적어 둔 대로 짝도 맞춰 봤다 — 07 스펙팩 7-9-2 의 여섯 줄과 같은 여섯이다,판매용_템플릿/_판매팩/*/08_검수시나리오.xlsx · 같은 팩 07_AI빌드_스펙팩.md 의 7-9-2,해당없음
2026-09-01,pack-qa-spec-a,LMS·뷰티샵·여행·공동구매,새지시 / lib/preset-pack.ts — 뿌리와 갈렸던 색값,8/25 에 되돌린 forest·coral 보조색과 미리보기 보조색이 팩까지 왔는지 봤다. check-presets.mts 가 「뿌리와 손님이 받는 프리셋의 색값이 6종 모두 같습니다」로 통과. 팩 디자인프리셋에 옛 색(#5F7268·#DCE7DD·#7A6560·#F2E2DD·#6B6F76)이 남은 곳 0곳,check-presets.mts · 판매용_템플릿/_판매팩/*/디자인프리셋/,해당없음
2026-09-01,pack-qa-spec-a,LMS·뷰티샵·여행·공동구매,⭐ 07 스펙팩이 뿌리를 따라왔나,뿌리로 한 벌 다시 구워(build-template.mts · build-template-deep.mts — lms·beauty·travel·groupbuy) 내 몫 16벌의 07_AI빌드_스펙팩.md 를 한 줄씩 견줬다 — 16벌 모두 다른 줄 0. 판매팩이 묵지 않았다. 다시 구울 것 없음,"_작업/{LMS_온라인강의플랫폼,뷰티샵_예약플랫폼,해외투어_티켓예약,공동구매_공구플랫폼}{,_상세IA}/07_AI빌드_스펙팩.md",해당없음
2026-09-01,pack-qa-spec-a,LMS·뷰티샵·여행·공동구매,⭐ 두 갈래 검수 지시문이 스펙팩에 실렸나,「검수는 «두 갈래»입니다」(7-0)와 「기계가 보는 검수 — 파일만 보고 재기」(7-9-2)를 세었다. 내 몫 16벌 모두 1회씩. 판매팩 전체로는 32/32(반려동물케어 4벌이 _판매팩 으로 나오면서 28→32칸이 되었다),판매용_템플릿/_판매팩/*/07_AI빌드_스펙팩.md,해당없음
2026-09-01,pack-qa-spec-a,LMS·뷰티샵·여행·공동구매,회귀 / 검사기 열둘을 새 눈으로 다시 돌림,팩검사 8/8 걸리는 곳 없음 · 레이아웃검사 폭 1536 710쪽 걸린 쪽 0 (폭 390·폭 360 도 0) · check-눈으로 --전부 8벌 깨끗(710장) · check-반응 8벌 «못 넘긴 것 0건»(봐줄 만한 것 191건은 「고른 값이 곧 답인」 입력칸) · check-겉표지 16/16 참말 · check-pack ✔ · check-design 8벌 통과 · check-presets 통과. 지난 회차 뒤 새로 망가진 곳 0건. 분배표가 「이번 고침은 대부분 헛짚음 걷어내기라 지난주보다 조용해야 맞는다」고 했는데 실제로 그랬다,check-눈으로.mts · _작업/레이아웃검사.mjs · _작업/팩검사.mjs · check-반응.mts · check-겉표지.mts · check-pack.mts · check-design.mts,해당없음
2026-09-01,pack-qa-spec-a,LMS·뷰티샵·여행·공동구매,회차 / 2026-08-18 여행_프리미엄 「사람확인필요」 줄을 닫음,분배표가 시킨 대로 여행_프리미엄에 check-반응 을 다시 돌렸다. 쪽마다 60초 timeout 이 붙어 이번에는 끝까지 돌았고 «못 넘긴 것 0건»이다. 2026-08-18 에 시간 안에 못 끝내 열어 둔 줄을 닫는다,check-반응.mts · 판매용_템플릿/_판매팩/여행_프리미엄/완성화면,해당없음
2026-09-01,pack-qa-spec-a,LMS_프리미엄,③ 디자인프리셋 / 글자 대비 — 경고색이 형제 등급과 갈림,"--warning 이 #B4761A 로 종이색(#F0EFEB) 위 대비 3.29 였다. 같은 업종 LMS_디럭스는 #B45309(4.36)이고, 완성화면 16벌 가운데 13벌이 4.13~4.60 대인데 이 팩만 한 점 아래였다. 11px 배지(.badge/.b-warn)와 잔글에 쓰이는 색이라 본문 기준 4.5 가 필요한 자리다. 형제 등급과 같은 #B45309 로 맞췄다(3.29 → 4.36). 겉표지 index.html 의 색 견본 두 곳도 같이 고쳤다 — 겉과 속을 같이 고치지 않으면 겉표지가 거짓말을 한다. 고친 뒤 check-design 재확인 · 팩검사 · 레이아웃검사로 확인",판매용_템플릿/_판매팩/LMS_프리미엄/완성화면/assets/css/base.css:42 · 같은 팩 완성화면/index.html:38-39,고침
2026-09-01,pack-qa-spec-a,여행_프리미엄,③ 디자인프리셋 / 글자 대비 — 경고색이 형제 등급과 갈림,"위와 같은 자리. --warning 이 #B4761A(3.29)였고 같은 업종 여행_디럭스는 #9A6700(4.23)이다. 형제 등급과 같은 #9A6700 으로 맞췄다. 이 팩은 .warning 이 13px 잔글(「담을 때 360,000원 → 지금 384,000원」)과 .itin .gap 12px 에도 쓰여 배지보다 더 걸리는 자리였다. 겉표지 index.html 두 곳도 같이 고침. 고친 뒤 check-design(3.29→4.23) · 팩검사 · 레이아웃검사 144쪽 0건 · BK0302 화면을 실제로 그려 눈으로도 확인",판매용_템플릿/_판매팩/여행_프리미엄/완성화면/assets/css/base.css:23 · 같은 팩 완성화면/index.html:40-41,고침
2026-09-01,pack-qa-spec-a,매칭_디럭스,③ 디자인프리셋 / 글자 대비 — 같은 흠이 뒤 절반에도 있음,위 두 건과 똑같이 --warning 이 #B4761A(3.29)인 팩이 하나 더 있다 — 매칭_디럭스. 뒤 절반이라 손대지 않았다(검수공통 3절). 형제 등급 매칭_프리미엄은 #916100 이니 그쪽에 맞추면 된다. pack-qa-spec-b 또는 마무리 회차가 볼 것,판매용_템플릿/_판매팩/매칭_디럭스/완성화면/assets/css/base.css,해당없음
2026-09-01,pack-qa-spec-a,"여행_디럭스, 여행_프리미엄, 뷰티샵_디럭스, 뷰티샵_프리미엄, 공동구매_프리미엄",⭐ 새지시 / 지시서 3-f — 손질이 «생성기에 없어» 다시 구우면 사라지던 것,"지시서 3-f 가 「같은 종류의 새는 자리가 네 몫에도 있는지 보라」고 해서 봤다. 팩마다 완성화면/build/ 에 화면 굽는 기계가 함께 들어 있고 그 머리에 「실행: node build/generate.mjs」라고 적혀 있다. 그 기계를 «딴 자리에 통째로 베껴서» 돌려 보니(진짜 팩은 안 건드렸다) 8/21 에 손으로 고친 빈 링크가 되살아났다 — 내 몫에서 91개(여행_프리미엄 55 · 뷰티샵_프리미엄 15 · 여행_디럭스 11 · 뷰티샵_디럭스 7 · 공동구매_프리미엄 3). 스펙팩 7-2 가 손님에게 「href=""#"" 는 하나도 남기지 마세요」라고 시키는데 팩에 든 기계가 그것을 만들고 있었다. 검수공통 2절의 갈래별 처방대로, 모양은 지어내지 않고 «지금 팔리는 pages 에 든 그대로» 옮겨 적었다 — 쪽번호 29(→span.off) · 안내단추 6(→data-toast) · 후기사진 2줄(→button.gph) · 끌어옮기는줄 2(→span) · 꺼진 단추 4(→span aria-disabled). 고친 뒤 다시 돌려 91 → 0. node --check 로 문법도 확인. LMS 두 벌과 공동구매_디럭스는 이 갈래가 원래 0이었다","판매용_템플릿/_판매팩/{여행_디럭스,여행_프리미엄,뷰티샵_디럭스,뷰티샵_프리미엄,공동구매_프리미엄}/완성화면/build/*.mjs",고침
