"화면ID","화면명","어떤 자리","종류","권장 크기","지금 들어간 사진"
"BK0101","대여 신청서","장비","시술","400×400","장비- 1.webp"
"BK0301","대여 확정 완료","장비","시술","400×400","장비- 10.webp"
"BK0301","대여 확정 완료","수령 QR 코드","시술","400×400","장비- 11.webp"
"BK0301","대여 확정 완료","수령 QR 코드","시술","600×600","장비- 12.webp"
"BK0302","대여 확정 완료 > 수령 QR 확대","수령 QR 코드","시술","600×600","장비- 13.webp"
"BK0501","대여 계약 동의·서명","서명하는 칸","시술","1200×300","장비- 14.webp"
"BK0503","대여 계약 동의·서명 > 전자 서명","서명하는 칸","시술","1200×320","장비- 15.webp"
"BK0504","대여 계약 동의·서명 > 서명 미완료","서명하는 칸 — 비어 있음","시술","1200×320","장비- 16.webp"
"CS0201","1:1 문의","수령 사진","시술","800×600","장비- 17.webp"
"CS0201","1:1 문의","반납 사진","시술","800×600","장비- 18.webp"
"CS0201","1:1 문의","추가 1","시술","800×600","장비- 19.webp"
"CS0201","1:1 문의","추가 2","시술","800×600","장비- 2.webp"
"CS0203","1:1 문의 > 대여 건 자동 연결","수령 정면","시술","800×600","장비- 20.webp"
"CS0203","1:1 문의 > 대여 건 자동 연결","수령 옆면","시술","800×600","장비- 21.webp"
"CS0203","1:1 문의 > 대여 건 자동 연결","반납 정면","시술","800×600","장비- 22.webp"
"CS0203","1:1 문의 > 대여 건 자동 연결","반납 옆면","시술","800×600","장비- 23.webp"
"CS0204","1:1 문의 > 첨부 용량 초과","사진","시술","400×300","장비- 24.webp"
"CS0204","1:1 문의 > 첨부 용량 초과","사진","시술","400×300","장비- 25.webp"
"CS0204","1:1 문의 > 첨부 용량 초과","사진","시술","400×300","장비- 13.webp"
"CS0301","대여 약관·규정","털어서 넣은 상태","시술","800×500","장비- 4.webp"
"CS0301","대여 약관·규정","젖은 채 접힌 상태","시술","800×500","장비- 5.webp"
"CT0101","대여 장바구니","장비","시술","400×400","장비- 6.webp"
"CT0101","대여 장바구니","장비","시술","400×400","장비- 7.webp"
"CT0101","대여 장바구니","장비","시술","400×400","장비- 8.webp"
"CT0102","대여 장바구니 > 기간 다른 줄 분리","장비","시술","400×400","장비- 9.webp"
"CT0102","대여 장바구니 > 기간 다른 줄 분리","장비","시술","400×400","장비- 1.webp"
"CT0102","대여 장바구니 > 기간 다른 줄 분리","장비","시술","400×400","장비- 10.webp"
"CT0103","대여 장바구니 > 담은 뒤 재고 소진","장비","시술","400×400","장비- 11.webp"
"CT0103","대여 장바구니 > 담은 뒤 재고 소진","장비","시술","400×400","장비- 12.webp"
"CT0104","대여 장바구니 > 수량 변경","장비","시술","400×400","장비- 13.webp"
"CT0301","빈 장바구니","장비 사진","시술","800×800","장비- 14.webp"
"CT0301","빈 장바구니","장비 사진","시술","800×800","장비- 15.webp"
"CT0301","빈 장바구니","장비 사진","시술","800×800","장비- 16.webp"
"CT0301","빈 장바구니","장비 사진","시술","800×800","장비- 17.webp"
"CT0301","빈 장바구니","장비 사진","시술","800×800","장비- 18.webp"
"CT0301","빈 장바구니","장비 사진","시술","800×800","장비- 19.webp"
"CT0301","빈 장바구니","장비 사진","시술","800×800","장비- 2.webp"
"CT0301","빈 장바구니","장비 사진","시술","800×800","장비- 20.webp"
"CT0302","빈 장바구니 > 최근 본 장비","장비 사진","시술","800×800","장비- 21.webp"
