날짜,루틴,팩,항목,무엇,근거파일,고침여부
2026-08-25,pack-qa-spec-b,매칭_디럭스,D6,"화면 파일에 손으로 적은 style=""grid-template-columns:…"" 가 폰 미디어쿼리를 이겨, 옆기둥 300px 이 안 접히고 본문이 111px 로 찌그러졌다(RQ-02 는 69px, 달력 한 칸 19px). 좁을 때만 덮어쓰게 고쳤다 — 데스크톱 값은 그대로",판매용_템플릿/_판매팩/매칭_디럭스/완성화면/assets/css/base.css,고침
2026-08-25,pack-qa-spec-b,매칭_디럭스,D6,"AU-03 이 폰 폭에서 가로로 22px 밀렸다. .solo 가 place-items:center 만 준 grid 라 칸이 max-content 로 커지고, 인증번호 여섯 칸이 40px 로 못 박혀 있었다. .solo 를 minmax(0,1fr) 로 묶고 칸을 나눠 쓰게 해 0 으로",판매용_템플릿/_판매팩/매칭_디럭스/완성화면/assets/css/base.css,고침
2026-08-25,pack-qa-spec-b,매칭_디럭스,G1,SE-04 사진 크게보기의 「이 작업처럼 견적 요청」·「신고」가 버튼처럼 생겼는데 span 이라 눌러도 아무 일이 없었다. 링크(RQ-01)와 button(data-toast)으로 바꿨다. 태그 짝 30/30·13/13·33/33 확인,판매용_템플릿/_판매팩/매칭_디럭스/완성화면/pages/SE-04.html,고침
2026-08-25,pack-qa-spec-b,매칭_디럭스,D7,QT-01 「낮은 가격순·평점 높은순·빠른 응답순·도착한 순」이 고른 값만 바뀌고 카드 차례는 그대로였다(기능정의에 정렬이 적혀 있다). 카드에 data-price·data-rate·data-resp·data-arr 를 적고 실제로 정렬하게 했다. 네 가지 모두 눌러 확인,판매용_템플릿/_판매팩/매칭_디럭스/완성화면/pages/QT-01.html,고침
2026-08-25,pack-qa-spec-b,매칭_디럭스,B9,팩을 고쳤으니 zip 을 다시 구워야 한다. 검수 루틴은 굽지 않는다(검수공통 3절) — 대기 파일을 남겼다,packs/matching-deluxe.zip,마무리에넘김
2026-08-25,pack-qa-spec-b,매칭_프리미엄,D6,CH0201·RQ0201 에서 인라인 grid-template-columns 가 폰에서 안 접히던 것을 좁은 폭에서 덮어쓰게 고쳤다,판매용_템플릿/_판매팩/매칭_프리미엄/완성화면/assets/css/base.css,고침
2026-08-25,pack-qa-spec-b,매칭_프리미엄,D6,RV0102 별점 줄이 폰에서 27px 밀렸다. 점수 칸(.rate-in .v)이 「5점」을 담자고 88px 을 flex:none 으로 붙들고 있었다. 폰에서만 풀어 0 으로,판매용_템플릿/_판매팩/매칭_프리미엄/완성화면/assets/css/base.css,고침
2026-08-25,pack-qa-spec-b,매칭_프리미엄,H2,MY0202·RQ0203 에서 821px 짜리 달력 그림 바로 밑에 「고른 날짜」 칩이 0px 로 맞붙었다. .ph + .chips 에 틈 28px,판매용_템플릿/_판매팩/매칭_프리미엄/완성화면/assets/css/base.css,고침
2026-08-25,pack-qa-spec-b,매칭_프리미엄,C1·C2,"겉표지가 팩에 «없는» 프리셋 이름을 적고 있었다 — 「가이드 01 미니멀 모노 × 레이아웃 B 대시보드형」. 팩에 든 것은 가이드_02_미니멀모노·레이아웃_B_목록중심형이고, 완성화면 --primary #111111 이 미니멀 모노와 정확히 맞는다. 아래쪽에 또 「가이드 01 모던 네이비 · 레이아웃 A 좌우 분할형」이라고 서로 다른 말을 하고 있어 둘 다 맞췄다",판매용_템플릿/_판매팩/매칭_프리미엄/완성화면/index.html:27,고침
2026-08-25,pack-qa-spec-b,매칭_프리미엄,E2,겉표지가 「탭·상태·예외까지 펼친 3뎁스는 프리미엄 등급에 들어 있습니다」라고 적혀 있었다 — 이 팩이 그 프리미엄이다. 디럭스 문구를 그대로 베낀 자리다. 「2뎁스 43화면만 담은 디럭스 등급도 있습니다」로 고쳤다(다른 업종 프리미엄과 같은 말투),판매용_템플릿/_판매팩/매칭_프리미엄/완성화면/index.html,고침
2026-08-25,pack-qa-spec-b,매칭_프리미엄,G1,SE0401 의 span 단추 둘을 링크(RQ0101)와 button(data-toast)으로. 태그 짝 확인,판매용_템플릿/_판매팩/매칭_프리미엄/완성화면/pages/SE0401.html,고침
2026-08-25,pack-qa-spec-b,매칭_프리미엄,D7,QT0101 견적 정렬 네 가지가 실제로 걸리게 고쳤다(디럭스와 같은 장치),판매용_템플릿/_판매팩/매칭_프리미엄/완성화면/pages/QT0101.html,고침
2026-08-25,pack-qa-spec-b,매칭_프리미엄,B9,팩을 고쳤으니 zip 을 다시 구워야 한다 — 대기 파일을 남겼다,packs/matching-premium.zip,마무리에넘김
2026-08-25,pack-qa-spec-b,장비렌탈_디럭스,D6,"HO-03·PD-01·PD-02·PD-05 에서 인라인 repeat(3,minmax(0,1fr)) 이 폰에서도 석 줄로 남아 카드 한 장이 136px 이었다(사진도 글도 못 읽는다). 좁을 때만 한 줄로 덮어쓰게 고쳤다",판매용_템플릿/_판매팩/장비렌탈_디럭스/완성화면/assets/css/base.css,고침
2026-08-25,pack-qa-spec-b,장비렌탈_디럭스,D7,HO-03·PD-01 의 「추천순·대여료 낮은 순·별점 높은 순·많이 남은 순(많이 빌려간 순)」이 값만 바뀌고 차례는 그대로였다. 이 팩 app.js 에는 정렬 코드가 한 줄도 없었는데 기능정의에는 정렬이 적혀 있다. 카드에 data-price·data-rate·data-left·data-many·data-rec 를 적고 실제로 정렬하게 했다. 갈래 칩 거르기와 같이 돌려도 안 싸우는 것까지 확인(8→정렬 8→텐트 1→거른 채 정렬 1→전체 8),판매용_템플릿/_판매팩/장비렌탈_디럭스/완성화면/pages/HO-03.html,고침
2026-08-25,pack-qa-spec-b,장비렌탈_디럭스,D7,「많이 빌려간 순」은 카드에 누적 대여 횟수가 없어 후기 수(★ 옆 괄호)로 견주게 두었다. 후기는 빌린 뒤에 쓰는 것이라 차례는 같은 방향이다. 진짜 대여 횟수를 카드에 적게 되면 data-many 만 바꾸면 된다 — 코드에 적어 두었다,판매용_템플릿/_판매팩/장비렌탈_디럭스/완성화면/assets/js/app.js,고침
