"화면ID","화면명","어떤 자리","종류","권장 크기","지금 들어간 사진"
"BK0101","여행자 정보 입력","시술","시술","","여행 - 4.webp"
"BK0102","여행자 정보 입력 > 영문명 형식 오류","시술","시술","","여행 - 6.webp"
"BK0103","여행자 정보 입력 > 대표 예약자와 동일 체크","시술","시술","","여행 - 7.webp"
"BK0104","여행자 정보 입력 > 아동 나이 기준 불일치","시술","시술","","여행 - 8.webp"
"BK0105","여행자 정보 입력 > 필수 동의 미체크","시술","시술","","여행 - 13.webp"
"BK0201","결제","시술","시술","","여행 - 18.webp"
"BK0202","결제 > 쿠폰 적용","시술","시술","","여행 - 1.webp"
"BK0203","결제 > 쿠폰 적용 불가","시술","시술","","여행 - 17.webp"
"BK0204","결제 > 해외결제 카드 탭","시술","시술","","여행 - 14.webp"
"BK0205","결제 > 결제 진행 중","시술","시술","","여행 - 15.webp"
"BK0206","결제 > 환율 변동 안내","시술","시술","","여행 - 2.webp"
"BK0301","예약 완료","시술","시술","","여행 - 11.webp"
"BK0302","예약 완료 > 확정 대기 상품 포함","시술","시술","","여행 - 4.webp"
"BK0302","예약 완료 > 확정 대기 상품 포함","시술","시술","","여행 - 6.webp"
"BK0303","예약 완료 > 캘린더 추가","시술","시술","","여행 - 7.webp"
"BK0501","예약 확정 대기","시술","시술","","여행 - 8.webp"
"BK0502","예약 확정 대기 > 확정됨","시술","시술","","여행 - 13.webp"
"BK0503","예약 확정 대기 > 현지 거절(확정 실패)","시술","시술","","여행 - 18.webp"
"BK0601","최소 인원 미달 안내","시술","시술","","여행 - 1.webp"
"BK0601","최소 인원 미달 안내","시술","시술","","여행 - 17.webp"
"BK0601","최소 인원 미달 안내","시술","시술","","여행 - 14.webp"
"BK0601","최소 인원 미달 안내","시술","시술","","여행 - 15.webp"
"BK0601","최소 인원 미달 안내","시술","시술","","여행 - 2.webp"
"BK0602","최소 인원 미달 안내 > 자동 취소 확정","시술","시술","","여행 - 11.webp"
"BK0603","최소 인원 미달 안내 > 친구 초대 공유","시술","시술","","여행 - 4.webp"
"BK0603","최소 인원 미달 안내 > 친구 초대 공유","시술","시술","","여행 - 6.webp"
"BK0603","최소 인원 미달 안내 > 친구 초대 공유","시술","시술","","여행 - 7.webp"
"BK0603","최소 인원 미달 안내 > 친구 초대 공유","시술","시술","","여행 - 8.webp"
"BK0603","최소 인원 미달 안내 > 친구 초대 공유","시술","시술","","여행 - 13.webp"
"CS0301","문의 내역","시술","시술","","여행 - 18.webp"
"CS0301","문의 내역","시술","시술","","여행 - 1.webp"
"CS0301","문의 내역","시술","시술","","여행 - 17.webp"
"CS0302","문의 내역 > 답변 완료 상세","시술","시술","","여행 - 14.webp"
"CS0302","문의 내역 > 답변 완료 상세","시술","시술","","여행 - 15.webp"
"CS0402","공지사항 > 현지 이슈 상세","시술","시술","","여행 - 2.webp"
"CT0101","장바구니","시술","시술","","여행 - 11.webp"
"CT0101","장바구니","시술","시술","","여행 - 4.webp"
"CT0101","장바구니","시술","시술","","여행 - 6.webp"
"CT0101","장바구니","시술","시술","","여행 - 7.webp"
"CT0101","장바구니","시술","시술","","여행 - 8.webp"
"CT0101","장바구니","시술","시술","","여행 - 13.webp"
"CT0101","장바구니","시술","시술","","여행 - 18.webp"
"CT0102","장바구니 > 마감 항목 경고","시술","시술","","여행 - 1.webp"
