"화면ID","화면명","어떤 자리","종류","권장 크기","지금 들어간 사진"
"AC0201","내 정보·배송지","프로필","인물","400×400","인물 - 1.webp"
"AC0201","내 정보·배송지","프로필","인물","400×400","인물 - 2.webp"
"AC0202","내 정보·배송지 > 배송지 추가 폼","프로필","인물","400×400","인물 - 4.webp"
"AC0203","내 정보·배송지 > 결제수단 관리","프로필","인물","400×400","인물 - 5.webp"
"AC0204","내 정보·배송지 > 진행자 전환 안내","프로필","인물","400×400","인물 - 6.webp"
"AC0301","알림 설정","프로필","인물","400×400","인물 - 7.webp"
"AC0302","알림 설정 > 방해금지 설정","프로필","인물","400×400","인물 - 8.webp"
"AC0303","알림 설정 > 마케팅 수신 철회","프로필","인물","400×400","인물 - 9.webp"
"CS0101","이용 안내·자주 묻는 질문","프로필","인물","400×400","인물 - 12.webp"
"CS0102","이용 안내·자주 묻는 질문 > 진행자용 탭","프로필","인물","400×400","인물 - 13.webp"
"CS0103","이용 안내·자주 묻는 질문 > 검색 결과","프로필","인물","400×400","인물 - 14.webp"
"CS0201","1:1 문의","프로필","인물","400×400","인물 - 15.webp"
"CS0202","1:1 문의 > 문의 작성","프로필","인물","400×400","인물 - 16.webp"
"CS0203","1:1 문의 > 내 문의 상세","프로필","인물","400×400","인물 - 17.webp"
"CS0203","1:1 문의 > 내 문의 상세","프로필","인물","400×400","인물 - 18.webp"
"CS0203","1:1 문의 > 내 문의 상세","첨부 사진","시술","1000×1000","제품 - 1.webp"
"CS0301","공지·이벤트","프로필","인물","400×400","인물 - 19.webp"
"CS0302","공지·이벤트 > 공지 상세","프로필","인물","400×400","인물 - 20.webp"
"CS0303","공지·이벤트 > 이벤트 상세","프로필","인물","400×400","인물 - 1.webp"
"CS0303","공지·이벤트 > 이벤트 상세","이벤트 배너","시술","1600×600","제품 - 2.webp"
"CS0401","환불·분쟁 정책 안내","프로필","인물","400×400","인물 - 2.webp"
"CS0402","환불·분쟁 정책 안내 > 분쟁 처리 절차","프로필","인물","400×400","인물 - 4.webp"
"CS0403","환불·분쟁 정책 안내 > 신고 접수","프로필","인물","400×400","인물 - 5.webp"
"DE0101","공구 상세","프로필","인물","400×400","인물 - 6.webp"
"DE0101","공구 상세","상품 대표 사진","시술","1000×1000","제품 - 6.webp"
"DE0101","공구 상세","시술","시술","1000×1000","제품 - 7.webp"
"DE0101","공구 상세","시술","시술","1000×1000","제품 - 8.webp"
"DE0101","공구 상세","프로필","인물","400×400","인물 - 7.webp"
"DE0101","공구 상세","프로필","인물","400×400","인물 - 8.webp"
"DE0101","공구 상세","후기 사진","후기","1000×1000","제품 - 4.webp"
"DE0101","공구 상세","후기 사진","후기","1000×1000","제품 - 10.webp"
"DE0101","공구 상세","프로필","인물","400×400","인물 - 9.webp"
"DE0101","공구 상세","프로필","인물","400×400","인물 - 12.webp"
"DE0101","공구 상세","후기 사진","후기","1000×1000","제품 - 19.webp"
"DE0101","공구 상세","후기 사진","후기","1000×1000","제품 - 20.webp"
"DE0102","공구 상세 > 상품정보 탭","프로필","인물","400×400","인물 - 13.webp"
"DE0102","공구 상세 > 상품정보 탭","상품 대표 사진","시술","1000×1000","제품 - 9.webp"
"DE0102","공구 상세 > 상품정보 탭","시술","시술","1000×1000","제품 - 11.webp"
"DE0102","공구 상세 > 상품정보 탭","시술","시술","1000×1000","제품 - 12.webp"
"DE0102","공구 상세 > 상품정보 탭","상품 상세 이미지","시술","1000×1400","제품 - 13.webp"
"DE0102","공구 상세 > 상품정보 탭","상품 상세 이미지","시술","1000×1400","제품 - 14.webp"
"DE0102","공구 상세 > 상품정보 탭","상품 상세 이미지","시술","1000×1400","제품 - 15.webp"
"DE0103","공구 상세 > 후기 탭","프로필","인물","400×400","인물 - 14.webp"
"DE0103","공구 상세 > 후기 탭","상품 대표 사진","시술","1000×1000","제품 - 16.webp"
"DE0103","공구 상세 > 후기 탭","시술","시술","1000×1000","제품 - 17.webp"
"DE0103","공구 상세 > 후기 탭","시술","시술","1000×1000","제품 - 18.webp"
"DE0103","공구 상세 > 후기 탭","시술","시술","1000×1000","제품 - 1.webp"
"DE0103","공구 상세 > 후기 탭","시술","시술","1000×1000","제품 - 2.webp"
"DE0103","공구 상세 > 후기 탭","시술","시술","1000×1000","제품 - 6.webp"
"DE0103","공구 상세 > 후기 탭","시술","시술","1000×1000","제품 - 7.webp"
"DE0103","공구 상세 > 후기 탭","시술","시술","1000×1000","제품 - 8.webp"
"DE0103","공구 상세 > 후기 탭","시술","시술","1000×1000","제품 - 9.webp"
"DE0103","공구 상세 > 후기 탭","프로필","인물","400×400","인물 - 15.webp"
"DE0103","공구 상세 > 후기 탭","후기 사진","후기","1000×1000","제품 - 4.webp"
"DE0103","공구 상세 > 후기 탭","후기 사진","후기","1000×1000","제품 - 10.webp"
"DE0103","공구 상세 > 후기 탭","프로필","인물","400×400","인물 - 16.webp"
"DE0103","공구 상세 > 후기 탭","프로필","인물","400×400","인물 - 17.webp"
"DE0103","공구 상세 > 후기 탭","후기 사진","후기","1000×1000","제품 - 19.webp"
"DE0103","공구 상세 > 후기 탭","후기 사진","후기","1000×1000","제품 - 20.webp"
"DE0103","공구 상세 > 후기 탭","프로필","인물","400×400","인물 - 18.webp"
"DE0104","공구 상세 > 문의 탭","프로필","인물","400×400","인물 - 19.webp"
"DE0104","공구 상세 > 문의 탭","상품 대표 사진","시술","1000×1000","제품 - 11.webp"
"DE0104","공구 상세 > 문의 탭","시술","시술","1000×1000","제품 - 12.webp"
"DE0104","공구 상세 > 문의 탭","시술","시술","1000×1000","제품 - 13.webp"
"DE0105","공구 상세 > 다음 단계 도달 상태","프로필","인물","400×400","인물 - 20.webp"
"DE0105","공구 상세 > 다음 단계 도달 상태","상품 대표 사진","시술","1000×1000","제품 - 14.webp"
"DE0105","공구 상세 > 다음 단계 도달 상태","시술","시술","1000×1000","제품 - 15.webp"
"DE0105","공구 상세 > 다음 단계 도달 상태","시술","시술","1000×1000","제품 - 16.webp"
"DE0105","공구 상세 > 다음 단계 도달 상태","프로필","인물","400×400","인물 - 1.webp"
"DE0105","공구 상세 > 다음 단계 도달 상태","프로필","인물","400×400","인물 - 2.webp"
"DE0105","공구 상세 > 다음 단계 도달 상태","후기 사진","후기","1000×1000","제품 - 4.webp"
"DE0105","공구 상세 > 다음 단계 도달 상태","후기 사진","후기","1000×1000","제품 - 10.webp"
"DE0105","공구 상세 > 다음 단계 도달 상태","프로필","인물","400×400","인물 - 4.webp"
"DE0105","공구 상세 > 다음 단계 도달 상태","프로필","인물","400×400","인물 - 5.webp"
"DE0105","공구 상세 > 다음 단계 도달 상태","후기 사진","후기","1000×1000","제품 - 19.webp"
"DE0105","공구 상세 > 다음 단계 도달 상태","후기 사진","후기","1000×1000","제품 - 20.webp"
"DE0106","공구 상세 > 1인 최대수량 초과","프로필","인물","400×400","인물 - 6.webp"
"DE0106","공구 상세 > 1인 최대수량 초과","상품 대표 사진","시술","1000×1000","제품 - 17.webp"
"DE0106","공구 상세 > 1인 최대수량 초과","시술","시술","1000×1000","제품 - 18.webp"
"DE0106","공구 상세 > 1인 최대수량 초과","시술","시술","1000×1000","제품 - 1.webp"
"DE0106","공구 상세 > 1인 최대수량 초과","프로필","인물","400×400","인물 - 7.webp"
"DE0106","공구 상세 > 1인 최대수량 초과","프로필","인물","400×400","인물 - 8.webp"
"DE0106","공구 상세 > 1인 최대수량 초과","후기 사진","후기","1000×1000","제품 - 4.webp"
"DE0106","공구 상세 > 1인 최대수량 초과","후기 사진","후기","1000×1000","제품 - 10.webp"
"DE0106","공구 상세 > 1인 최대수량 초과","프로필","인물","400×400","인물 - 9.webp"
"DE0106","공구 상세 > 1인 최대수량 초과","프로필","인물","400×400","인물 - 12.webp"
"DE0106","공구 상세 > 1인 최대수량 초과","후기 사진","후기","1000×1000","제품 - 19.webp"
"DE0106","공구 상세 > 1인 최대수량 초과","후기 사진","후기","1000×1000","제품 - 20.webp"
"DE0201","상품 상세정보·거래 조건","프로필","인물","400×400","인물 - 13.webp"
"DE0201","상품 상세정보·거래 조건","상품 상세 이미지","시술","1000×1400","제품 - 2.webp"
"DE0201","상품 상세정보·거래 조건","상품 상세 이미지","시술","1000×1400","제품 - 6.webp"
"DE0201","상품 상세정보·거래 조건","상품 상세 이미지","시술","1000×1400","제품 - 7.webp"
"DE0202","상품 상세정보·거래 조건 > 배송/환불 탭","프로필","인물","400×400","인물 - 14.webp"
"DE0203","상품 상세정보·거래 조건 > 판매자 정보 탭","프로필","인물","400×400","인물 - 15.webp"
"DE0203","상품 상세정보·거래 조건 > 판매자 정보 탭","프로필","인물","400×400","인물 - 16.webp"
"DE0203","상품 상세정보·거래 조건 > 판매자 정보 탭","시술","시술","1000×1000","제품 - 8.webp"
"DE0203","상품 상세정보·거래 조건 > 판매자 정보 탭","시술","시술","1000×1000","제품 - 9.webp"
"DE0203","상품 상세정보·거래 조건 > 판매자 정보 탭","시술","시술","1000×1000","제품 - 11.webp"
"DE0301","공구 마감 - 성사","프로필","인물","400×400","인물 - 17.webp"
"DE0301","공구 마감 - 성사","시술","시술","1000×1000","제품 - 12.webp"
"DE0301","공구 마감 - 성사","시술","시술","1000×1000","제품 - 13.webp"
"DE0301","공구 마감 - 성사","시술","시술","1000×1000","제품 - 14.webp"
"DE0302","공구 마감 - 성사 > 배송 준비 안내","프로필","인물","400×400","인물 - 18.webp"
"DE0401","공구 마감 - 불발(미달)","프로필","인물","400×400","인물 - 19.webp"
"DE0401","공구 마감 - 불발(미달)","시술","시술","1000×1000","제품 - 15.webp"
"DE0401","공구 마감 - 불발(미달)","시술","시술","1000×1000","제품 - 16.webp"
"DE0401","공구 마감 - 불발(미달)","시술","시술","1000×1000","제품 - 17.webp"
"DE0402","공구 마감 - 불발(미달) > 환불 진행 중","프로필","인물","400×400","인물 - 20.webp"
"DE0403","공구 마감 - 불발(미달) > 환불 완료","프로필","인물","400×400","인물 - 1.webp"
"DE0403","공구 마감 - 불발(미달) > 환불 완료","시술","시술","1000×1000","제품 - 18.webp"
"DE0403","공구 마감 - 불발(미달) > 환불 완료","시술","시술","1000×1000","제품 - 1.webp"
"DE0403","공구 마감 - 불발(미달) > 환불 완료","시술","시술","1000×1000","제품 - 2.webp"
"HM0101","진행자 대시보드","프로필","인물","400×400","인물 - 2.webp"
"HM0102","진행자 대시보드 > 미달 위험 강조","프로필","인물","400×400","인물 - 4.webp"
"HM0103","진행자 대시보드 > 빈 상태(공구 없음)","프로필","인물","400×400","인물 - 5.webp"
"HM0103","진행자 대시보드 > 빈 상태(공구 없음)","프로필","인물","400×400","인물 - 6.webp"
"HM0103","진행자 대시보드 > 빈 상태(공구 없음)","프로필","인물","400×400","인물 - 7.webp"
"HM0201","공구별 참여 현황","프로필","인물","400×400","인물 - 8.webp"
"HM0201","공구별 참여 현황","프로필","인물","400×400","인물 - 9.webp"
"HM0201","공구별 참여 현황","프로필","인물","400×400","인물 - 12.webp"
"HM0201","공구별 참여 현황","프로필","인물","400×400","인물 - 13.webp"
"HM0201","공구별 참여 현황","프로필","인물","400×400","인물 - 14.webp"
"HM0201","공구별 참여 현황","프로필","인물","400×400","인물 - 15.webp"
"HM0201","공구별 참여 현황","프로필","인물","400×400","인물 - 16.webp"
"HM0202","공구별 참여 현황 > 참여자 목록 상세","프로필","인물","400×400","인물 - 17.webp"
"HM0202","공구별 참여 현황 > 참여자 목록 상세","프로필","인물","400×400","인물 - 18.webp"
"HM0202","공구별 참여 현황 > 참여자 목록 상세","프로필","인물","400×400","인물 - 19.webp"
"HM0202","공구별 참여 현황 > 참여자 목록 상세","프로필","인물","400×400","인물 - 20.webp"
"HM0202","공구별 참여 현황 > 참여자 목록 상세","프로필","인물","400×400","인물 - 1.webp"
"HM0202","공구별 참여 현황 > 참여자 목록 상세","프로필","인물","400×400","인물 - 2.webp"
"HM0202","공구별 참여 현황 > 참여자 목록 상세","프로필","인물","400×400","인물 - 4.webp"
"HM0202","공구별 참여 현황 > 참여자 목록 상세","프로필","인물","400×400","인물 - 5.webp"
"HM0202","공구별 참여 현황 > 참여자 목록 상세","프로필","인물","400×400","인물 - 6.webp"
"HM0202","공구별 참여 현황 > 참여자 목록 상세","프로필","인물","400×400","인물 - 7.webp"
"HM0202","공구별 참여 현황 > 참여자 목록 상세","프로필","인물","400×400","인물 - 8.webp"
"HM0202","공구별 참여 현황 > 참여자 목록 상세","프로필","인물","400×400","인물 - 9.webp"
"HM0202","공구별 참여 현황 > 참여자 목록 상세","프로필","인물","400×400","인물 - 12.webp"
"HM0203","공구별 참여 현황 > 시간대 추이","프로필","인물","400×400","인물 - 13.webp"
"HM0204","공구별 참여 현황 > 내보내기","프로필","인물","400×400","인물 - 14.webp"
"HM0301","마감·성사 처리","프로필","인물","400×400","인물 - 15.webp"
"HM0301","마감·성사 처리","상품 사진","시술","1000×1000","제품 - 6.webp"
"HM0302","마감·성사 처리 > 마감 연장 옵션","프로필","인물","400×400","인물 - 16.webp"
"HM0303","마감·성사 처리 > 불발 처리 확인","프로필","인물","400×400","인물 - 17.webp"
"HM0304","마감·성사 처리 > 성사 확정 모달","프로필","인물","400×400","인물 - 18.webp"
"HM0401","발주·배송 관리","프로필","인물","400×400","인물 - 19.webp"
"HM0401","발주·배송 관리","프로필","인물","400×400","인물 - 20.webp"
"HM0401","발주·배송 관리","프로필","인물","400×400","인물 - 1.webp"
"HM0401","발주·배송 관리","프로필","인물","400×400","인물 - 2.webp"
"HM0401","발주·배송 관리","프로필","인물","400×400","인물 - 4.webp"
"HM0401","발주·배송 관리","프로필","인물","400×400","인물 - 5.webp"
"HM0401","발주·배송 관리","프로필","인물","400×400","인물 - 6.webp"
"HM0401","발주·배송 관리","프로필","인물","400×400","인물 - 7.webp"
"HM0402","발주·배송 관리 > 발주서 생성","프로필","인물","400×400","인물 - 8.webp"
"HM0403","발주·배송 관리 > 송장 일괄 등록","프로필","인물","400×400","인물 - 9.webp"
"HM0404","발주·배송 관리 > 배송 지연 공지","프로필","인물","400×400","인물 - 12.webp"
"HM0405","발주·배송 관리 > 반품·교환 접수","프로필","인물","400×400","인물 - 13.webp"
"HM0405","발주·배송 관리 > 반품·교환 접수","프로필","인물","400×400","인물 - 14.webp"
"HM0405","발주·배송 관리 > 반품·교환 접수","접수 사진","시술","1000×1000","제품 - 7.webp"
"HM0405","발주·배송 관리 > 반품·교환 접수","접수 사진","시술","1000×1000","제품 - 8.webp"
"HM0405","발주·배송 관리 > 반품·교환 접수","프로필","인물","400×400","인물 - 15.webp"
