"화면ID","화면명","어떤 자리","종류","권장 크기","지금 들어간 사진"
"AU-04","회원가입 완료","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"AU-04","회원가입 완료","고수 프로필","인물","400×400","매칭_청소_라쿤.webp"
"AU-04","회원가입 완료","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"CH-01","채팅 목록","프로필","인물","400×400","인물 - 1.webp"
"CH-01","채팅 목록","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"CH-01","채팅 목록","고수 프로필","인물","400×400","매칭_가전수리_수달.webp"
"CH-01","채팅 목록","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"CH-01","채팅 목록","고수 프로필","인물","400×400","매칭_촬영_페넥.webp"
"CH-02","채팅방","프로필","인물","400×400","인물 - 2.webp"
"CH-02","채팅방","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"CH-02","채팅방","프로필","인물","400×400","인물 - 4.webp"
"CH-02","채팅방","프로필","인물","400×400","인물 - 5.webp"
"CH-02","채팅방","프로필","인물","400×400","인물 - 6.webp"
"CH-02","채팅방","프로필","인물","400×400","인물 - 7.webp"
"CH-02","채팅방","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"HO-01","홈 - 비로그인","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"HO-01","홈 - 비로그인","고수 프로필","인물","400×400","매칭_청소_라쿤.webp"
"HO-01","홈 - 비로그인","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"HO-01","홈 - 비로그인","고수 프로필","인물","400×400","매칭_인테리어_비버.webp"
"HO-01","홈 - 비로그인","고수 프로필","인물","400×400","매칭_과외_코끼리.webp"
"HO-01","홈 - 비로그인","고수 프로필","인물","400×400","매칭_촬영_페넥.webp"
"HO-01","홈 - 비로그인","고수 프로필","인물","400×400","매칭_가전수리_수달.webp"
"HO-01","홈 - 비로그인","고수 프로필","인물","400×400","매칭_청소_라쿤.webp"
"HO-01","홈 - 비로그인","프로필","인물","400×400","인물 - 8.webp"
"HO-01","홈 - 비로그인","프로필","인물","400×400","인물 - 9.webp"
"HO-01","홈 - 비로그인","프로필","인물","400×400","인물 - 12.webp"
"HO-01","홈 - 비로그인","프로필","인물","400×400","인물 - 13.webp"
"HO-01","홈 - 비로그인","프로필","인물","400×400","인물 - 14.webp"
"HO-01","홈 - 비로그인","프로필","인물","400×400","인물 - 15.webp"
"HO-02","홈 - 손님 로그인","프로필","인물","400×400","인물 - 16.webp"
"HO-02","홈 - 손님 로그인","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"HO-02","홈 - 손님 로그인","고수 프로필","인물","400×400","매칭_가전수리_수달.webp"
"HO-02","홈 - 손님 로그인","고수 프로필","인물","400×400","매칭_가전수리_수달.webp"
"HO-02","홈 - 손님 로그인","고수 프로필","인물","400×400","매칭_촬영_페넥.webp"
"HO-02","홈 - 손님 로그인","고수 프로필","인물","400×400","매칭_과외_코끼리.webp"
"HO-02","홈 - 손님 로그인","고수 프로필","인물","400×400","매칭_가전수리_수달.webp"
"HO-02","홈 - 손님 로그인","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"HO-02","홈 - 손님 로그인","고수 프로필","인물","400×400","매칭_인테리어_비버.webp"
"HO-02","홈 - 손님 로그인","고수 프로필","인물","400×400","매칭_과외_코끼리.webp"
"HO-02","홈 - 손님 로그인","고수 프로필","인물","400×400","매칭_촬영_페넥.webp"
"HO-02","홈 - 손님 로그인","고수 프로필","인물","400×400","매칭_가전수리_수달.webp"
"HO-02","홈 - 손님 로그인","고수 프로필","인물","400×400","매칭_청소_라쿤.webp"
"JB-01","일감 목록","프로필","인물","400×400","인물 - 17.webp"
"JB-02","일감 상세","프로필","인물","400×400","인물 - 18.webp"
"JB-02","일감 상세","프로필","인물","400×400","인물 - 19.webp"
"JB-03","정산 내역","프로필","인물","400×400","인물 - 20.webp"
"LD-01","새 요청 목록","프로필","인물","400×400","인물 - 1.webp"
"LD-02","요청 상세","프로필","인물","400×400","인물 - 2.webp"
"LD-02","요청 상세","프로필","인물","400×400","인물 - 4.webp"
"LD-02","요청 상세","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"LD-02","요청 상세","고수 프로필","인물","400×400","매칭_가전수리_수달.webp"
"LD-02","요청 상세","고수 프로필","인물","400×400","매칭_청소_라쿤.webp"
"LD-03","견적 보내기","프로필","인물","400×400","인물 - 5.webp"
"LD-03","견적 보내기","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"LD-04","크레딧 충전","프로필","인물","400×400","인물 - 6.webp"
"MY-01","내 요청 목록","프로필","인물","400×400","인물 - 7.webp"
"MY-02","요청 상세 - 진행 상황","프로필","인물","400×400","인물 - 8.webp"
"MY-02","요청 상세 - 진행 상황","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"MY-03","내 요청 - 비어 있음","프로필","인물","400×400","인물 - 9.webp"
"PR-01","고수센터 홈","프로필","인물","400×400","인물 - 12.webp"
"PR-01","고수센터 홈","프로필","인물","400×400","인물 - 13.webp"
"PR-01","고수센터 홈","프로필","인물","400×400","인물 - 14.webp"
"PR-01","고수센터 홈","프로필","인물","400×400","인물 - 15.webp"
"PR-02","고수 등록 신청","프로필","인물","400×400","인물 - 16.webp"
"PR-03","고수 등록 - 심사 중","프로필","인물","400×400","인물 - 17.webp"
"PR-04","활동 설정","프로필","인물","400×400","인물 - 18.webp"
"PR-05","프로필·포트폴리오 관리","프로필","인물","400×400","인물 - 19.webp"
"PR-05","프로필·포트폴리오 관리","고수 프로필","인물","400×400","인물 - 20.webp"
"PR-05","프로필·포트폴리오 관리","시술","시술","1200×900","매칭_펫케어_골든.webp"
"PR-05","프로필·포트폴리오 관리","시술","시술","1200×900","매칭_요리_카피바라.webp"
"PR-05","프로필·포트폴리오 관리","시술","시술","1200×900","매칭_운동_호랑이.webp"
"PR-05","프로필·포트폴리오 관리","시술","시술","1200×900","매칭_꽃집_사슴.webp"
"PR-05","프로필·포트폴리오 관리","시술","시술","1200×900","매칭_네일_토끼.webp"
"PR-05","프로필·포트폴리오 관리","시술","시술","1200×900","매칭_미용_알파카.webp"
"PY-01","결제","프로필","인물","400×400","인물 - 1.webp"
"PY-01","결제","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"PY-02","결제 완료","프로필","인물","400×400","인물 - 2.webp"
"PY-02","결제 완료","고수 프로필","인물","400×400","인물 - 4.webp"
"PY-03","결제 실패","프로필","인물","400×400","인물 - 5.webp"
"QT-01","견적 목록","프로필","인물","400×400","인물 - 6.webp"
"QT-01","견적 목록","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"QT-01","견적 목록","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"QT-01","견적 목록","고수 프로필","인물","400×400","매칭_가전수리_수달.webp"
"QT-01","견적 목록","고수 프로필","인물","400×400","매칭_청소_라쿤.webp"
"QT-01","견적 목록","고수 프로필","인물","400×400","매칭_청소_라쿤.webp"
"QT-02","견적 비교","프로필","인물","400×400","인물 - 7.webp"
"QT-02","견적 비교","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"QT-02","견적 비교","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"QT-02","견적 비교","고수 프로필","인물","400×400","매칭_가전수리_수달.webp"
"QT-02","견적 비교","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"QT-02","견적 비교","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"QT-02","견적 비교","고수 프로필","인물","400×400","매칭_가전수리_수달.webp"
"QT-03","견적 상세","프로필","인물","400×400","인물 - 8.webp"
"QT-03","견적 상세","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"QT-04","고수 선택 - 확인","프로필","인물","400×400","인물 - 9.webp"
"QT-04","고수 선택 - 확인","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"RQ-01","서비스 고르기","프로필","인물","400×400","인물 - 12.webp"
"RQ-02","요청서 작성 - 단계별 질문","프로필","인물","400×400","인물 - 13.webp"
"RQ-03","요청서 확인","프로필","인물","400×400","인물 - 14.webp"
"RQ-04","요청 완료","프로필","인물","400×400","인물 - 15.webp"
"RQ-04","요청 완료","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"RQ-04","요청 완료","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"RQ-04","요청 완료","고수 프로필","인물","400×400","매칭_가전수리_수달.webp"
"RQ-04","요청 완료","고수 프로필","인물","400×400","매칭_청소_라쿤.webp"
"RQ-05","요청 수정·취소","프로필","인물","400×400","인물 - 16.webp"
"RV-01","후기 작성","프로필","인물","400×400","인물 - 17.webp"
"RV-01","후기 작성","고수 프로필","인물","400×400","매칭_촬영_페넥.webp"
"RV-02","내 후기 목록","프로필","인물","400×400","인물 - 18.webp"
"RV-02","내 후기 목록","고수 프로필","인물","400×400","매칭_촬영_페넥.webp"
"RV-02","내 후기 목록","고수 프로필","인물","400×400","매칭_과외_코끼리.webp"
"RV-02","내 후기 목록","고수 프로필","인물","400×400","매칭_청소_라쿤.webp"
"RV-02","내 후기 목록","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"RV-02","내 후기 목록","고수 프로필","인물","400×400","매칭_가전수리_수달.webp"
"RV-02","내 후기 목록","고수 프로필","인물","400×400","매칭_촬영_페넥.webp"
"RV-02","내 후기 목록","고수 프로필","인물","400×400","매칭_가전수리_수달.webp"
"SE-01","고수 목록","프로필","인물","400×400","인물 - 19.webp"
"SE-01","고수 목록","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"SE-01","고수 목록","고수 프로필","인물","400×400","매칭_청소_라쿤.webp"
"SE-01","고수 목록","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"SE-01","고수 목록","고수 프로필","인물","400×400","매칭_인테리어_비버.webp"
"SE-01","고수 목록","고수 프로필","인물","400×400","매칭_과외_코끼리.webp"
"SE-01","고수 목록","고수 프로필","인물","400×400","매칭_촬영_페넥.webp"
"SE-01","고수 목록","고수 프로필","인물","400×400","매칭_가전수리_수달.webp"
"SE-01","고수 목록","고수 프로필","인물","400×400","매칭_청소_라쿤.webp"
"SE-02","고수 목록 - 결과 없음","프로필","인물","400×400","인물 - 20.webp"
"SE-02","고수 목록 - 결과 없음","고수 프로필","인물","400×400","매칭_과외_코끼리.webp"
"SE-02","고수 목록 - 결과 없음","고수 프로필","인물","400×400","매칭_촬영_페넥.webp"
"SE-02","고수 목록 - 결과 없음","고수 프로필","인물","400×400","매칭_인테리어_비버.webp"
"SE-02","고수 목록 - 결과 없음","고수 프로필","인물","400×400","매칭_청소_라쿤.webp"
"SE-03","고수 상세","프로필","인물","400×400","인물 - 1.webp"
"SE-03","고수 상세","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"SE-03","고수 상세","시술","시술","1200×900","매칭_강의_부엉이.webp"
"SE-03","고수 상세","시술","시술","1200×900","매칭_여행가이드_미어캣.webp"
"SE-03","고수 상세","시술","시술","1200×900","매칭_펫케어_골든.webp"
"SE-03","고수 상세","프로필","인물","400×400","인물 - 2.webp"
"SE-03","고수 상세","프로필","인물","400×400","인물 - 4.webp"
"SE-03","고수 상세","프로필","인물","400×400","인물 - 5.webp"
"SE-04","고수 포트폴리오","프로필","인물","400×400","인물 - 6.webp"
"SE-04","고수 포트폴리오","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
