날짜,루틴,팩,항목,무엇,근거파일,고침여부
2026-09-07,pack-qa-userpack,생성팩(공통),손님코드흠,⭐⭐ 손님이 제 화면에 붙여 넣는 검사 글에서 「\s」의 역슬래시가 빠져 있었다. 짧은글() 이 /s+/ 로 적혀 있어 «빈칸»이 아니라 «영문 s 글자»를 지웠다. HTML 은 태그 사이 줄바꿈·들여쓰기가 그대로 글자로 남으므로 빈칸을 못 접으면 「전체 동의」 같은 두 줄짜리 이름표가 마흔 자를 넘겨 «짧은 글»이 아니게 되고 바로 아래 부품과 한 덩어리라는 것을 못 알아본다 → 멀쩡한 자리를 [간격] 흠으로 찍는다. 견본 화면으로 재어 봄 — 이름표 날 글자 69자 접으면 27자. 옛 글 흠 1건 · 고친 글 흠 0건. String.raw 라 역슬래시가 살아 있어야 맞다. 왜 빼면 안 되는지 주석으로 남김,lib/export/화면검수-글.ts:128-136,고침
2026-09-07,pack-qa-userpack,생성팩(공통),글이싸움,⭐ 7-0 의 «② 기계가 보는 검수» 는 「어디서: 아래 7-9-2」로 보내면서 그 갈래 첫 줄에 «글자 대비»를 적어 두는데 7-9-2 의 글은 대비를 재지 않는다(파일만 본다). 대비를 재는 것은 7-9 의 ⑧번이다. 그 안내가 7-9-3 «끝»에만 있어서 7-0 을 보고 7-9-2 로 온 사람은 대비를 찾다가 못 찾고 «안 재는 것»으로 읽는다. 읽는 이가 닿는 자리인 7-9-2 머리에 「대비는 7-9 가 ⑧번으로 잽니다」를 넣음. 뽑아 본 두 벌 모두 7-9-2 안(1932·3062줄)에 실림 확인,lib/export/spec-pack.ts:796-806,고침
2026-09-07,pack-qa-userpack,생성팩(공통),짝맞춤,⭐ 분배표가 「7장이 갈렸으니 template-verify 와의 짝이 맞는지 반드시 보라」고 지목한 자리. 08 검수시나리오의 «글자 대비» 칸이 「스펙팩 7-9-2 가 가리키는 대로 브라우저에서 잰다」로 한 다리 건너 가리키고 있었다 — 7-9-2 는 node 로 파일만 보는 글이라 브라우저도 대비도 없다. 재는 글을 «이름으로» 가리키게 고침(7-9 의 ⑧번). 뽑아 본 08 두 벌에서 새 문구 확인,lib/export/template-verify.ts:355-359,고침
2026-09-07,pack-qa-userpack,판매팩 32칸,다시구울것,⛔ 위 세 가지를 고치자 판매팩 32칸의 구워진 07_AI빌드_스펙팩.md 와 11_내사이트_검수하는_법.html 이 «지금 코드와 다름»이 됐다(check-zip 64건 = 32팩 × 2파일). 고치기 «전»에 같은 검사를 돌려 0건인 것을 확인했으므로 이 64건은 전부 내 고침 때문이며 팩이 아픈 것이 아니다. 굽는 것은 마무리 몫이라 손대지 않음(검수공통 3절). ⚠ 굽지 않으면 손님이 받는 판매팩에는 이 고침이 안 간다,check-zip.mts · 판매용_템플릿/_판매팩/,마무리에넘김(32칸 07 md 와 11 html 다시 굽고 zip 교체)
2026-09-07,pack-qa-userpack,생성팩(공통),짝맞춤,⭐ 스펙팩 7절이 성한지 확인. 2뎁스·3뎁스 두 벌 모두 7장 1개 · 아래 절 14개(7-0~7-11 + 7-9-2 + 7-9-3) 겹침 0 · 빠짐 0. 「검수는 «두 갈래»입니다」 1회 · 「기계가 보는 검수 — 파일만 보고 재기」 1회로 두 갈래가 다 실림. 7절이 빠지면 손님의 AI 가 만들고 나서 아무것도 안 눌러 보므로 매번 본다,_작업/LMS_온라인강의플랫폼/07_AI빌드_스펙팩.md,해당없음
2026-09-07,pack-qa-userpack,생성팩(공통),검사기,⭐ 이번주 알림 — 실어 보내는 검사 글이 진짜 도는지 B14 로 잼(check-스펙팩글). 검사 글 4덩이 문법 정상 · 멀쩡한 화면에서 조용함 · 일부러 깨뜨린 화면에서 아홉 갈래(고정 간격 버튼 늘어남 막대 표 메뉴 대비 사진) 다 잡음. 알림이 짚은 «색을 글자에서 숫자만 뽑아 읽는 자리»는 남아 있지 않음 — 캔버스에 한 점 찍어 브라우저가 풀게 하고 있다(getImageData). lab() 헛경보 없음,check-스펙팩글.mts · lib/export/화면검수-글.ts:250-262,해당없음
2026-09-07,pack-qa-userpack,생성팩(공통),받는파일,한 벌 실제로 뽑아 열어 봄. 2뎁스 01~04 행 44/44/270/44 · 3뎁스 132/132/721/132 — 몸통 빈 줄 0 · 머리줄 어긋남 0. 08 은 295줄(확인항목 294)/746줄. 05 FLOW 9장 연결 65 · drawio 242칸 · 06 pptx 정상. 받는 파일 12개 다 나옴. tsc 깨끗,_작업/LMS_온라인강의플랫폼_상세IA/,해당없음
2026-09-07,pack-qa-userpack,생성팩(공통),md json 갈림,07 의 md 와 json 이 같은 값을 말하는지 견줌 — 콘텐츠폭 1440px · 안여백 24px · 글폭 760px · 좁은폭 390 과 360 다섯 값이 두 벌 모두 md·json 일치. 지난주에 갈렸던 alsoTestWidth 360 이 이번에도 둘 다 실려 있음. json 은 구조 자료(project common menus screens flow)라 7절 «글»은 안 담는 것이 설계대로다,_작업/LMS_온라인강의플랫폼/07_AI빌드_스펙팩.json,해당없음
2026-09-07,pack-qa-userpack,생성팩(공통),옆으로번짐,09-02 에 브랜드 주황을 #E4762C 에서 #BC5918 로 내린 것이 «구워진» 받는 파일까지 따라왔는지 확인 — 05_FLOW 흐름도 html 새색 28곳/옛색 0 · drawio 새색 10곳/옛색 0 · 06 pptx 압축을 풀어 새색 9곳/옛색 0. 대비도 직접 셈함 — 새색 위 흰 글자 4.58 (옛색 3.03 · 기준 4.5). 세 파일 모두 옛 색 0개,lib/export/flow-export.ts · lib/export/ppt-export.ts,해당없음
2026-09-07,pack-qa-userpack,생성팩(공통),프리셋,디자인프리셋 md 와 json 이 같은 값을 말하는지 견줌 — 가이드 3벌의 색 20·20·22개가 모두 md 에도 그대로 있음(빠진 색 0). 레이아웃 2벌은 색을 안 쓴다. ⚠ 손님 zip 의 프리셋과 안내서는 내려받을 때 lib/preset-pack.ts · lib/guide-links.ts 에서 «그 자리에서» 구워지므로 코드 고침이 저절로 따라온다 — 판매팩처럼 묵을 자리가 아니다,app/(app)/dashboard/zip-all-button.tsx:375-392 · 458-459,해당없음
2026-09-07,pack-qa-userpack,생성팩(공통),한곳뿌리,검사 글이 «한 곳»에서만 나오는지 확인 — 스펙팩 7-9(md) · 11_내사이트_검수하는_법.html · check-팩전부검수 셋 다 lib/export/화면검수-글.ts 를 가져다 쓴다. 고친 regex 가 세 곳 모두에 실렸고 옛 것은 0곳. 안내서는 27428자 · 재는것 10가지 · 복사 단추 5개. 안내장HTML 이 본문() 을 실제로 불러 11번 안내서가 빈 장으로 나가지 않는 것도 확인,lib/guide-links.ts:76 · lib/export/검수안내서.ts:19,해당없음
2026-09-07,pack-qa-userpack,생성팩(공통),다운로드길,⭐ 이번주 알림 — PG 심사 통과 뒤 「결제는 되는데 파일이 없다」가 남았는지 확인. PACKAGES 8업종 × 4등급 = 32칸이 모두 packs/ 의 zip 으로 이어짐(packKey 가 만드는 <업종>-<등급> 이 fs-pack-storage 의 이름꼴 검사도 통과). 파일 없는 칸 0개. ⚠ 알림이 짚은 뷰티샵 사진 겹침은 «파일은 있는데 안이 틀린» 자리라 이 확인으로는 안 잡힌다 — spec-a 와 마무리 몫,adapters/storage/fs-pack-storage.ts · packs/,해당없음
2026-09-07,pack-qa-userpack,생성팩(공통),남의몫,⚠ 도는 동안 lib/design-presets.ts 와 lib/preset-pack.ts 가 작업 폴더에 «고쳐진 채로» 떠올랐다. 파일 안 주석이 「2026-09-07 pack-qa-spec-b 가 되돌림」이라 적고 있어 옆 회차가 지금 만지는 중이다(내추럴 그린 #15803D → #147A3A). 분배표가 design-presets 를 내 몫에서 뺐고 검수공통 3절이 남의 것은 그대로 두라 하므로 손대지 않고 담지도 않음. 내가 담은 것은 내가 고친 세 파일뿐,lib/design-presets.ts · lib/preset-pack.ts,해당없음
2026-09-07,pack-qa-userpack,생성팩(공통),커밋번호,⛔ 이번주 알림 — 지금 가지가 main 이 아니라 diagnose 다(현님 무료 진단 작업 가지). 검수공통 3절대로 담되 커밋 번호를 남긴다. 내 고침은 커밋 fb263a13 하나뿐이고 담은 것은 내가 고친 셋(화면검수-글.ts · spec-pack.ts · template-verify.ts)과 이 CSV 뿐이다. 같은 폴더에 떠 있던 남의 것(design-presets.ts · preset-pack.ts · output-styles 말투 · 분배.json)은 담지 않았다. 마무리가 이 커밋만 골라 main 으로 옮긴다,fb263a13b7145fa60fe7594d14b2edaea5da963a,마무리에넘김(fb263a13 를 main 으로 골라 옮길 것)
