"화면ID","화면명","어떤 자리","종류","권장 크기","지금 들어간 사진"
"AC-02","내 정보·배송지","프로필","인물","400×400","인물 - 1.webp"
"AC-02","내 정보·배송지","프로필","인물","400×400","인물 - 2.webp"
"AC-03","알림 설정","프로필","인물","400×400","인물 - 4.webp"
"CS-01","이용 안내·자주 묻는 질문","프로필","인물","400×400","인물 - 5.webp"
"CS-02","1:1 문의","프로필","인물","400×400","인물 - 6.webp"
"CS-03","공지·이벤트","프로필","인물","400×400","인물 - 7.webp"
"CS-04","환불·분쟁 정책 안내","프로필","인물","400×400","인물 - 8.webp"
"DE-01","공구 상세","프로필","인물","400×400","인물 - 9.webp"
"DE-01","공구 상세","상품 대표 사진","시술","1000×1000","제품 - 1.webp"
"DE-01","공구 상세","시술","시술","1000×1000","제품 - 2.webp"
"DE-01","공구 상세","시술","시술","1000×1000","제품 - 6.webp"
"DE-01","공구 상세","프로필","인물","400×400","인물 - 12.webp"
"DE-01","공구 상세","프로필","인물","400×400","인물 - 13.webp"
"DE-01","공구 상세","후기 사진","후기","1000×1000","제품 - 4.webp"
"DE-01","공구 상세","후기 사진","후기","1000×1000","제품 - 10.webp"
"DE-01","공구 상세","프로필","인물","400×400","인물 - 14.webp"
"DE-01","공구 상세","프로필","인물","400×400","인물 - 15.webp"
"DE-01","공구 상세","후기 사진","후기","1000×1000","제품 - 19.webp"
"DE-01","공구 상세","후기 사진","후기","1000×1000","제품 - 20.webp"
"DE-02","상품 상세정보·거래 조건","프로필","인물","400×400","인물 - 16.webp"
"DE-02","상품 상세정보·거래 조건","상품 상세 이미지","시술","1000×1400","제품 - 7.webp"
"DE-02","상품 상세정보·거래 조건","상품 상세 이미지","시술","1000×1400","제품 - 8.webp"
"DE-02","상품 상세정보·거래 조건","상품 상세 이미지","시술","1000×1400","제품 - 9.webp"
"DE-03","공구 마감 - 성사","프로필","인물","400×400","인물 - 17.webp"
"DE-03","공구 마감 - 성사","시술","시술","1000×1000","제품 - 11.webp"
"DE-03","공구 마감 - 성사","시술","시술","1000×1000","제품 - 12.webp"
"DE-03","공구 마감 - 성사","시술","시술","1000×1000","제품 - 13.webp"
"DE-04","공구 마감 - 불발(미달)","프로필","인물","400×400","인물 - 18.webp"
"DE-04","공구 마감 - 불발(미달)","시술","시술","1000×1000","제품 - 14.webp"
"DE-04","공구 마감 - 불발(미달)","시술","시술","1000×1000","제품 - 15.webp"
"DE-04","공구 마감 - 불발(미달)","시술","시술","1000×1000","제품 - 16.webp"
"HM-01","진행자 대시보드","프로필","인물","400×400","인물 - 19.webp"
"HM-02","공구별 참여 현황","프로필","인물","400×400","인물 - 20.webp"
"HM-02","공구별 참여 현황","프로필","인물","400×400","인물 - 1.webp"
"HM-02","공구별 참여 현황","프로필","인물","400×400","인물 - 2.webp"
"HM-02","공구별 참여 현황","프로필","인물","400×400","인물 - 4.webp"
"HM-02","공구별 참여 현황","프로필","인물","400×400","인물 - 5.webp"
"HM-02","공구별 참여 현황","프로필","인물","400×400","인물 - 6.webp"
"HM-02","공구별 참여 현황","프로필","인물","400×400","인물 - 7.webp"
"HM-03","마감·성사 처리","프로필","인물","400×400","인물 - 8.webp"
"HM-03","마감·성사 처리","상품 사진","시술","1000×1000","제품 - 17.webp"
"HM-04","발주·배송 관리","프로필","인물","400×400","인물 - 9.webp"
"HM-04","발주·배송 관리","프로필","인물","400×400","인물 - 12.webp"
"HM-04","발주·배송 관리","프로필","인물","400×400","인물 - 13.webp"
"HM-04","발주·배송 관리","프로필","인물","400×400","인물 - 14.webp"
"HM-04","발주·배송 관리","프로필","인물","400×400","인물 - 15.webp"
"HM-04","발주·배송 관리","프로필","인물","400×400","인물 - 16.webp"
"HM-04","발주·배송 관리","프로필","인물","400×400","인물 - 17.webp"
"HM-04","발주·배송 관리","프로필","인물","400×400","인물 - 18.webp"
"HM-05","참여자 공지·알림 발송","프로필","인물","400×400","인물 - 19.webp"
"HO-01","홈","프로필","인물","400×400","인물 - 20.webp"
"HO-01","홈","시술","시술","1000×1000","제품 - 18.webp"
"HO-01","홈","시술","시술","1000×1000","제품 - 1.webp"
"HO-01","홈","시술","시술","1000×1000","제품 - 2.webp"
"HO-01","홈","시술","시술","1000×1000","제품 - 6.webp"
"HO-01","홈","시술","시술","1000×1000","제품 - 7.webp"
"HO-01","홈","시술","시술","1000×1000","제품 - 8.webp"
"HO-01","홈","시술","시술","1000×1000","제품 - 9.webp"
"HO-01","홈","시술","시술","1000×1000","제품 - 11.webp"
"HO-01","홈","시술","시술","1000×1000","제품 - 12.webp"
"HO-01","홈","시술","시술","1000×1000","제품 - 13.webp"
"HO-01","홈","시술","시술","1000×1000","제품 - 14.webp"
"HO-01","홈","시술","시술","1000×1000","제품 - 15.webp"
"HO-01","홈","시술","시술","1000×1000","제품 - 16.webp"
"HO-01","홈","시술","시술","1200×600","제품 - 17.webp"
"HO-02","공구 목록","프로필","인물","400×400","인물 - 1.webp"
"HO-02","공구 목록","시술","시술","1000×1000","제품 - 18.webp"
"HO-02","공구 목록","시술","시술","1000×1000","제품 - 1.webp"
"HO-02","공구 목록","시술","시술","1000×1000","제품 - 2.webp"
"HO-02","공구 목록","시술","시술","1000×1000","제품 - 6.webp"
"HO-02","공구 목록","시술","시술","1000×1000","제품 - 7.webp"
"HO-02","공구 목록","시술","시술","1000×1000","제품 - 8.webp"
"HO-02","공구 목록","시술","시술","1000×1000","제품 - 9.webp"
"HO-02","공구 목록","시술","시술","1000×1000","제품 - 11.webp"
"HO-03","마감 임박 타임딜","프로필","인물","400×400","인물 - 2.webp"
"HO-03","마감 임박 타임딜","상품 사진","시술","1000×1000","제품 - 12.webp"
"HO-03","마감 임박 타임딜","상품 사진","시술","1000×1000","제품 - 13.webp"
"HO-03","마감 임박 타임딜","상품 사진","시술","1000×1000","제품 - 14.webp"
"HO-03","마감 임박 타임딜","상품 사진","시술","1000×1000","제품 - 15.webp"
"HO-03","마감 임박 타임딜","상품 사진","시술","1000×1000","제품 - 16.webp"
"HO-03","마감 임박 타임딜","시술","시술","1000×1000","제품 - 17.webp"
"HO-03","마감 임박 타임딜","시술","시술","1000×1000","제품 - 18.webp"
"HO-04","공구 목록 - 결과 없음","프로필","인물","400×400","인물 - 4.webp"
"HO-04","공구 목록 - 결과 없음","시술","시술","1000×1000","제품 - 1.webp"
"HO-04","공구 목록 - 결과 없음","시술","시술","1000×1000","제품 - 2.webp"
"HO-04","공구 목록 - 결과 없음","시술","시술","1000×1000","제품 - 6.webp"
"HO-04","공구 목록 - 결과 없음","시술","시술","1000×1000","제품 - 7.webp"
"HS-01","진행자 시작 안내","프로필","인물","400×400","인물 - 5.webp"
"HS-01","진행자 시작 안내","프로필","인물","400×400","인물 - 6.webp"
"HS-01","진행자 시작 안내","프로필","인물","400×400","인물 - 7.webp"
"HS-01","진행자 시작 안내","프로필","인물","400×400","인물 - 8.webp"
"HS-02","공구 개설 폼","프로필","인물","400×400","인물 - 9.webp"
"HS-02","공구 개설 폼","시술","시술","1000×1000","제품 - 8.webp"
"HS-02","공구 개설 폼","시술","시술","1000×1000","제품 - 9.webp"
"HS-02","공구 개설 폼","시술","시술","1000×1000","제품 - 11.webp"
"HS-03","개설 검수 대기·반려","프로필","인물","400×400","인물 - 12.webp"
"HS-03","개설 검수 대기·반려","상품 사진","시술","1000×1000","제품 - 12.webp"
"JO-01","옵션·수량 선택","프로필","인물","400×400","인물 - 13.webp"
"JO-01","옵션·수량 선택","상품 사진","시술","1000×1000","제품 - 13.webp"
"JO-02","참여 결제","프로필","인물","400×400","인물 - 14.webp"
"JO-02","참여 결제","상품 사진","시술","1000×1000","제품 - 14.webp"
"JO-03","참여 완료","프로필","인물","400×400","인물 - 15.webp"
"JO-03","참여 완료","시술","시술","1000×1000","제품 - 15.webp"
"JO-03","참여 완료","시술","시술","1000×1000","제품 - 16.webp"
"JO-03","참여 완료","시술","시술","1000×1000","제품 - 17.webp"
"JO-03","참여 완료","시술","시술","1000×1000","제품 - 18.webp"
"JO-04","결제 실패","프로필","인물","400×400","인물 - 16.webp"
"JO-04","결제 실패","상품 사진","시술","1000×1000","제품 - 1.webp"
"MY-01","내 공구함","프로필","인물","400×400","인물 - 17.webp"
"MY-01","내 공구함","상품 사진","시술","1000×1000","제품 - 2.webp"
"MY-01","내 공구함","상품 사진","시술","1000×1000","제품 - 6.webp"
"MY-01","내 공구함","상품 사진","시술","1000×1000","제품 - 7.webp"
"MY-01","내 공구함","상품 사진","시술","1000×1000","제품 - 8.webp"
"MY-02","참여 상세","프로필","인물","400×400","인물 - 18.webp"
"MY-02","참여 상세","상품 사진","시술","1000×1000","제품 - 9.webp"
"MY-03","참여 취소·환불 요청","프로필","인물","400×400","인물 - 19.webp"
"MY-03","참여 취소·환불 요청","상품 사진","시술","1000×1000","제품 - 11.webp"
"MY-04","내 공구함 - 비어 있음","프로필","인물","400×400","인물 - 20.webp"
"MY-04","내 공구함 - 비어 있음","시술","시술","1000×1000","제품 - 12.webp"
"MY-04","내 공구함 - 비어 있음","시술","시술","1000×1000","제품 - 13.webp"
"MY-04","내 공구함 - 비어 있음","시술","시술","1000×1000","제품 - 14.webp"
"MY-04","내 공구함 - 비어 있음","시술","시술","1000×1000","제품 - 15.webp"
"MY-04","내 공구함 - 비어 있음","시술","시술","1000×1000","제품 - 16.webp"
"MY-04","내 공구함 - 비어 있음","시술","시술","1000×1000","제품 - 17.webp"
"MY-04","내 공구함 - 비어 있음","시술","시술","1000×1000","제품 - 18.webp"
"MY-04","내 공구함 - 비어 있음","시술","시술","1000×1000","제품 - 1.webp"
"RV-01","후기 작성·목록","프로필","인물","400×400","인물 - 1.webp"
"RV-01","후기 작성·목록","상품 사진","시술","1000×1000","제품 - 2.webp"
"RV-01","후기 작성·목록","후기 사진","후기","1000×1000","제품 - 4.webp"
"RV-01","후기 작성·목록","후기 사진","후기","1000×1000","제품 - 10.webp"
"RV-01","후기 작성·목록","프로필","인물","400×400","인물 - 2.webp"
"RV-01","후기 작성·목록","후기 사진","후기","1000×1000","제품 - 19.webp"
"RV-01","후기 작성·목록","후기 사진","후기","1000×1000","제품 - 20.webp"
"RV-01","후기 작성·목록","프로필","인물","400×400","인물 - 4.webp"
"RV-01","후기 작성·목록","프로필","인물","400×400","인물 - 5.webp"
"RV-01","후기 작성·목록","후기 사진","후기","1000×1000","제품 - 1.webp"
"RV-01","후기 작성·목록","후기 사진","후기","1000×1000","제품 - 6.webp"
"RV-01","후기 작성·목록","프로필","인물","400×400","인물 - 6.webp"
"RV-02","상품 문의(Q&A)","프로필","인물","400×400","인물 - 7.webp"
"RV-02","상품 문의(Q&A)","프로필","인물","400×400","인물 - 8.webp"
"RV-02","상품 문의(Q&A)","프로필","인물","400×400","인물 - 9.webp"
"RV-02","상품 문의(Q&A)","프로필","인물","400×400","인물 - 12.webp"
"RV-02","상품 문의(Q&A)","프로필","인물","400×400","인물 - 13.webp"
"RV-03","관심 공구·알림함","프로필","인물","400×400","인물 - 14.webp"
"RV-03","관심 공구·알림함","상품 사진","시술","1000×1000","제품 - 6.webp"
"RV-03","관심 공구·알림함","상품 사진","시술","1000×1000","제품 - 7.webp"
"RV-03","관심 공구·알림함","상품 사진","시술","1000×1000","제품 - 8.webp"
"SE-01","정산 내역","프로필","인물","400×400","인물 - 15.webp"
"SE-02","정산 계좌·세금 설정","프로필","인물","400×400","인물 - 16.webp"
"SE-03","정산 상세","프로필","인물","400×400","인물 - 17.webp"
