"화면ID","화면명","어떤 자리","종류","권장 크기","지금 들어간 사진"
"AS0301","하자보수 처리 현황","담당 기사","인물","400×400","인물 - 1.webp"
"AS0301","하자보수 처리 현황","처리 후 (예정","시술","1200×900","인테리어 - 1.webp"
"AS0303","하자보수 처리 현황 > 처리 전·후 사진 견주기","처리 후","시술","1200×900","인테리어 - 10.webp"
"AU0401","내 정보","프로필","인물","400×400","인물 - 12.webp"
"CS0201","시공사례 상세","공간 사진","시술","800×800","인테리어 - 11.webp"
"CS0201","시공사례 상세","공간 사진","시술","800×800","인테리어 - 12.webp"
"CS0201","시공사례 상세","공간 사진","시술","800×800","인테리어 - 13.webp"
"CS0201","시공사례 상세","공간 사진","시술","800×800","인테리어 - 14.webp"
"CS0201","시공사례 상세","공간 사진","시술","800×800","인테리어 - 15.webp"
"CS0201","시공사례 상세","공간 사진","시술","800×800","인테리어 - 16.webp"
"CS0201","시공사례 상세","공간 사진","시술","800×800","인테리어 - 17.webp"
"CS0201","시공사례 상세","공간 사진","시술","800×800","인테리어 - 18.webp"
"CS0201","시공사례 상세","공간 사진","시술","800×800","인테리어 - 19.webp"
"CS0201","시공사례 상세","공간 사진","시술","800×800","인테리어 - 2.webp"
"CS0201","시공사례 상세","공간 사진","시술","800×800","인테리어 - 20.webp"
"CS0201","시공사례 상세","공간 사진","시술","800×800","인테리어 - 21.webp"
"CS0201","시공사례 상세","비슷한 사례","시술","1200×900","인테리어 - 22.webp"
"CS0201","시공사례 상세","비슷한 사례","시술","1200×900","인테리어 - 23.webp"
"CS0201","시공사례 상세","비슷한 사례","시술","1200×900","인테리어 - 24.webp"
"CS0301","시공사례 - 결과 없음","인기 사례","시술","1200×900","인테리어 - 25.webp"
"CS0301","시공사례 - 결과 없음","인기 사례","시술","1200×900","인테리어 - 3.webp"
"CS0301","시공사례 - 결과 없음","인기 사례","시술","1200×900","인테리어 - 4.webp"
"CS0401","자재·마감 둘러보기","미리보기","시술","1600×600","인테리어 - 5.webp"
"CS0401","자재·마감 둘러보기","바닥","시술","1200×900","인테리어 - 6.webp"
"CS0401","자재·마감 둘러보기","바닥","시술","1200×900","인테리어 - 7.webp"
"CS0401","자재·마감 둘러보기","벽","시술","1200×900","인테리어 - 8.webp"
"CS0401","자재·마감 둘러보기","주방","시술","1200×900","인테리어 - 9.webp"
"CS0401","자재·마감 둘러보기","욕실","시술","1200×900","인테리어 - 1.webp"
"CS0401","자재·마감 둘러보기","창호","시술","1200×900","인테리어 - 10.webp"
"CS0401","자재·마감 둘러보기","바닥","시술","1200×900","인테리어 - 11.webp"
"CS0401","자재·마감 둘러보기","바닥","시술","1200×900","인테리어 - 12.webp"
"CS0401","자재·마감 둘러보기","벽","시술","1200×900","인테리어 - 13.webp"
"CS0401","자재·마감 둘러보기","주방","시술","1200×900","인테리어 - 14.webp"
"CS0401","자재·마감 둘러보기","욕실","시술","1200×900","인테리어 - 15.webp"
"CS0401","자재·마감 둘러보기","창호","시술","1200×900","인테리어 - 16.webp"
"CS0401","자재·마감 둘러보기","바닥","시술","1200×900","인테리어 - 17.webp"
"CS0401","자재·마감 둘러보기","바닥","시술","1200×900","인테리어 - 18.webp"
"CS0401","자재·마감 둘러보기","벽","시술","1200×900","인테리어 - 19.webp"
"CS0401","자재·마감 둘러보기","주방","시술","1200×900","인테리어 - 2.webp"
"CS0401","자재·마감 둘러보기","욕실","시술","1200×900","인테리어 - 20.webp"
"CS0401","자재·마감 둘러보기","창호","시술","1200×900","인테리어 - 21.webp"
"CS0401","자재·마감 둘러보기","바닥","시술","1200×900","인테리어 - 22.webp"
"CS0401","자재·마감 둘러보기","바닥","시술","1200×900","인테리어 - 23.webp"
"CS0401","자재·마감 둘러보기","벽","시술","1200×900","인테리어 - 24.webp"
"CS0401","자재·마감 둘러보기","주방","시술","1200×900","인테리어 - 25.webp"
"CS0401","자재·마감 둘러보기","욕실","시술","1200×900","인테리어 - 3.webp"
"CS0401","자재·마감 둘러보기","창호","시술","1200×900","인테리어 - 4.webp"
"CS0401","자재·마감 둘러보기","바닥","시술","1200×900","인물 - 1.webp"
"CS0401","자재·마감 둘러보기","바닥","시술","1200×900","인물 - 12.webp"
"CS0401","자재·마감 둘러보기","벽","시술","1200×900","인물 - 13.webp"
"CS0401","자재·마감 둘러보기","주방","시술","1200×900","인물 - 14.webp"
"CS0401","자재·마감 둘러보기","욕실","시술","1200×900","인물 - 15.webp"
"CS0401","자재·마감 둘러보기","창호","시술","1200×900","인물 - 16.webp"
"CT0301","결제 완료 - 계약 성사","현장소장","인물","400×400","인물 - 13.webp"
"HO0101","홈","준공 사진","시술","1600×600","인테리어 - 5.webp"
"HO0101","홈","프로필","인물","400×400","인물 - 14.webp"
"HO0101","홈","프로필","인물","400×400","인물 - 15.webp"
"HO0101","홈","프로필","인물","400×400","인물 - 16.webp"
"HO0101","홈","프로필","인물","400×400","인물 - 17.webp"
"HO0201","시공 분야 홈","욕실 시공 대표","시술","1200×900","인테리어 - 6.webp"
"HO0201","시공 분야 홈","시공 사례","시술","1200×900","인테리어 - 7.webp"
"HO0201","시공 분야 홈","시공 사례","시술","1200×900","인테리어 - 8.webp"
"OW0701","업체 정보·직원 관리","업체 대표 사진","시술","1200×900","인테리어 - 1.webp"
"PR0302","현장 사진 일지 > 공정 필터 칩","철거 사진","시술","800×800","인테리어 - 9.webp"
"PR0302","현장 사진 일지 > 공정 필터 칩","설비 사진","시술","800×800","인테리어 - 1.webp"
"PR0302","현장 사진 일지 > 공정 필터 칩","전기 사진","시술","800×800","인테리어 - 10.webp"
"PR0302","현장 사진 일지 > 공정 필터 칩","목공 사진","시술","800×800","인테리어 - 11.webp"
"PR0302","현장 사진 일지 > 공정 필터 칩","타일 사진","시술","800×800","인테리어 - 12.webp"
"PR0302","현장 사진 일지 > 공정 필터 칩","철거 사진","시술","800×800","인테리어 - 13.webp"
"PR0302","현장 사진 일지 > 공정 필터 칩","설비 사진","시술","800×800","인테리어 - 14.webp"
"PR0302","현장 사진 일지 > 공정 필터 칩","전기 사진","시술","800×800","인테리어 - 15.webp"
"PR0302","현장 사진 일지 > 공정 필터 칩","목공 사진","시술","800×800","인테리어 - 16.webp"
"PR0302","현장 사진 일지 > 공정 필터 칩","타일 사진","시술","800×800","인테리어 - 17.webp"
"PR0303","현장 사진 일지 > 공간 필터 칩","거실 사진","시술","800×800","인테리어 - 18.webp"
"PR0303","현장 사진 일지 > 공간 필터 칩","주방 사진","시술","800×800","인테리어 - 19.webp"
"PR0303","현장 사진 일지 > 공간 필터 칩","욕실 사진","시술","800×800","인테리어 - 2.webp"
"PR0303","현장 사진 일지 > 공간 필터 칩","침실 사진","시술","800×800","인테리어 - 20.webp"
"PR0303","현장 사진 일지 > 공간 필터 칩","거실 사진","시술","800×800","인테리어 - 21.webp"
"PR0303","현장 사진 일지 > 공간 필터 칩","주방 사진","시술","800×800","인테리어 - 22.webp"
"PR0303","현장 사진 일지 > 공간 필터 칩","욕실 사진","시술","800×800","인테리어 - 23.webp"
"PR0303","현장 사진 일지 > 공간 필터 칩","침실 사진","시술","800×800","인테리어 - 24.webp"
"PR0304","현장 사진 일지 > 날짜 묶음 접기·펴기","사진","시술","800×800","인테리어 - 25.webp"
"PR0304","현장 사진 일지 > 날짜 묶음 접기·펴기","사진","시술","800×800","인테리어 - 3.webp"
"PR0304","현장 사진 일지 > 날짜 묶음 접기·펴기","사진","시술","800×800","인테리어 - 4.webp"
"PR0304","현장 사진 일지 > 날짜 묶음 접기·펴기","사진","시술","800×800","인테리어 - 5.webp"
"PR0304","현장 사진 일지 > 날짜 묶음 접기·펴기","사진","시술","800×800","인테리어 - 6.webp"
"PR0306","현장 사진 일지 > 준공 앨범 묶기","앨범에 담을 사진","시술","800×800","인테리어 - 7.webp"
"PR0306","현장 사진 일지 > 준공 앨범 묶기","앨범에 담을 사진","시술","800×800","인테리어 - 8.webp"
"PR0306","현장 사진 일지 > 준공 앨범 묶기","앨범에 담을 사진","시술","800×800","인테리어 - 9.webp"
"PR0306","현장 사진 일지 > 준공 앨범 묶기","앨범에 담을 사진","시술","800×800","인테리어 - 1.webp"
"PR0306","현장 사진 일지 > 준공 앨범 묶기","앨범에 담을 사진","시술","800×800","인테리어 - 10.webp"
"PR0306","현장 사진 일지 > 준공 앨범 묶기","앨범에 담을 사진","시술","800×800","인테리어 - 11.webp"
"VS0201","예약 내용 확인","담당자","인물","400×400","인물 - 18.webp"
"VS0301","예약 완료","담당자","인물","400×400","인물 - 19.webp"
