"화면ID","화면명","어떤 자리","종류","권장 크기","지금 들어간 사진"
"AD-01","","프로필","인물","400×400","인물 - 1.webp"
"AD-01","","물건 사진","시술","1000×1000","제품 - 1.webp"
"AD-01","","물건 사진","시술","1000×1000","제품 - 2.webp"
"AD-01","","물건 사진","시술","1000×1000","제품 - 6.webp"
"AD-01","","물건 사진","시술","1000×1000","제품 - 7.webp"
"AD-01","","물건 사진","시술","1000×1000","제품 - 8.webp"
"AD-01","","물건 사진","시술","1000×1000","제품 - 9.webp"
"AD-02","","프로필","인물","400×400","인물 - 2.webp"
"AD-02","","물건 사진","시술","1000×1000","제품 - 11.webp"
"AD-02","","물건 사진","시술","1000×1000","제품 - 12.webp"
"AD-02","","물건 사진","시술","1000×1000","제품 - 13.webp"
"AD-02","","물건 사진","시술","1000×1000","제품 - 14.webp"
"AD-02","","프로필","인물","400×400","인물 - 4.webp"
"AD-02","","물건 사진","시술","1000×1000","제품 - 15.webp"
"AD-03","","프로필","인물","400×400","인물 - 5.webp"
"AD-04","","프로필","인물","400×400","인물 - 6.webp"
"AD-04","","물건 사진","시술","1000×1000","제품 - 16.webp"
"AD-04","","물건 사진","시술","1000×1000","제품 - 17.webp"
"AD-04","","물건 사진","시술","1000×1000","제품 - 18.webp"
"AD-04","","물건 사진","시술","1000×1000","제품 - 1.webp"
"AD-04","","물건 사진","시술","1000×1000","제품 - 2.webp"
"AD-04","","물건 사진","시술","1000×1000","제품 - 6.webp"
"AD-04","","물건 사진","시술","1000×1000","제품 - 7.webp"
"AD-04","","물건 사진","시술","1000×1000","제품 - 8.webp"
"AD-04","","물건 사진","시술","1000×1000","제품 - 9.webp"
"AD-04","","물건 사진","시술","1000×1000","제품 - 11.webp"
"BS-01","","프로필","인물","400×400","인물 - 7.webp"
"BS-01","","물건 사진","시술","1000×1000","제품 - 12.webp"
"BS-01","","물건 사진","시술","1000×1000","제품 - 13.webp"
"BS-01","","물건 사진","시술","1000×1000","제품 - 14.webp"
"BS-01","","물건 사진","시술","1000×1000","제품 - 15.webp"
"BS-01","","물건 사진","시술","1000×1000","제품 - 16.webp"
"BS-02","","프로필","인물","400×400","인물 - 8.webp"
"BS-03","","프로필","인물","400×400","인물 - 9.webp"
"BS-03","","물건 사진","시술","1000×1000","제품 - 17.webp"
"BS-03","","물건 사진","시술","1000×1000","제품 - 18.webp"
"BS-03","","물건 사진","시술","1000×1000","제품 - 1.webp"
"BS-03","","물건 사진","시술","1000×1000","제품 - 2.webp"
"CH-01","","프로필","인물","400×400","인물 - 12.webp"
"CH-01","","프로필","인물","400×400","인물 - 13.webp"
"CH-01","","물건 사진","시술","1000×1000","제품 - 6.webp"
"CH-01","","프로필","인물","400×400","인물 - 14.webp"
"CH-01","","물건 사진","시술","1000×1000","제품 - 7.webp"
"CH-01","","프로필","인물","400×400","인물 - 15.webp"
"CH-01","","물건 사진","시술","1000×1000","제품 - 8.webp"
"CH-01","","프로필","인물","400×400","인물 - 16.webp"
"CH-01","","물건 사진","시술","1000×1000","제품 - 9.webp"
"CH-01","","프로필","인물","400×400","인물 - 17.webp"
"CH-01","","물건 사진","시술","1000×1000","제품 - 11.webp"
"CH-01","","프로필","인물","400×400","인물 - 18.webp"
"CH-01","","물건 사진","시술","1000×1000","제품 - 12.webp"
"CH-01","","프로필","인물","400×400","인물 - 19.webp"
"CH-01","","물건 사진","시술","1000×1000","제품 - 13.webp"
"CH-01","","프로필","인물","400×400","인물 - 20.webp"
"CH-01","","물건 사진","시술","1000×1000","제품 - 14.webp"
"CH-01","","프로필","인물","400×400","인물 - 1.webp"
"CH-01","","물건 사진","시술","1000×1000","제품 - 15.webp"
"CH-01","","프로필","인물","400×400","인물 - 2.webp"
"CH-01","","물건 사진","시술","1000×1000","제품 - 16.webp"
"CH-01","","프로필","인물","400×400","인물 - 4.webp"
"CH-01","","물건 사진","시술","1000×1000","제품 - 17.webp"
"CH-01","","프로필","인물","400×400","인물 - 5.webp"
"CH-01","","물건 사진","시술","1000×1000","제품 - 18.webp"
"CH-01","","프로필","인물","400×400","인물 - 6.webp"
"CH-01","","물건 사진","시술","1000×1000","제품 - 1.webp"
"CH-01","","프로필","인물","400×400","인물 - 7.webp"
"CH-01","","물건 사진","시술","1000×1000","제품 - 2.webp"
"CH-02","","프로필","인물","400×400","인물 - 8.webp"
"CH-02","","물건 사진","시술","1000×1000","제품 - 6.webp"
"CH-02","","물건 사진","시술","1000×1000","제품 - 7.webp"
"CH-02","","물건 사진","시술","1000×1000","제품 - 8.webp"
"CH-02","","프로필","인물","400×400","인물 - 9.webp"
"CH-03","","프로필","인물","400×400","인물 - 12.webp"
"CH-04","","프로필","인물","400×400","인물 - 13.webp"
"CH-04","","프로필","인물","400×400","인물 - 14.webp"
"CH-04","","물건 사진","시술","1000×1000","제품 - 9.webp"
"CH-04","","물건 사진","시술","1000×1000","제품 - 11.webp"
"CS-01","","프로필","인물","400×400","인물 - 15.webp"
"CS-02","","프로필","인물","400×400","인물 - 16.webp"
"CS-03","","프로필","인물","400×400","인물 - 17.webp"
"HO-01","","프로필","인물","400×400","인물 - 18.webp"
"HO-01","","물건 사진","시술","1000×1000","제품 - 12.webp"
"HO-01","","물건 사진","시술","1000×1000","제품 - 13.webp"
"HO-01","","물건 사진","시술","1000×1000","제품 - 14.webp"
"HO-01","","물건 사진","시술","1000×1000","제품 - 15.webp"
"HO-01","","물건 사진","시술","1000×1000","제품 - 16.webp"
"HO-01","","물건 사진","시술","1000×1000","제품 - 17.webp"
"HO-01","","물건 사진","시술","1000×1000","제품 - 18.webp"
"HO-01","","물건 사진","시술","1000×1000","제품 - 1.webp"
"HO-01","","물건 사진","시술","1000×1000","제품 - 2.webp"
"HO-01","","물건 사진","시술","1000×1000","제품 - 6.webp"
"HO-01","","물건 사진","시술","1000×1000","제품 - 7.webp"
"HO-01","","물건 사진","시술","1000×1000","제품 - 8.webp"
"HO-01","","물건 사진","시술","1000×1000","제품 - 9.webp"
"HO-01","","물건 사진","시술","1000×1000","제품 - 11.webp"
"HO-02","","프로필","인물","400×400","인물 - 19.webp"
"HO-02","","물건 사진","시술","1000×1000","제품 - 12.webp"
"HO-02","","물건 사진","시술","1000×1000","제품 - 13.webp"
"HO-02","","물건 사진","시술","1000×1000","제품 - 14.webp"
"HO-02","","물건 사진","시술","1000×1000","제품 - 15.webp"
"HO-04","","프로필","인물","400×400","인물 - 20.webp"
"MY-01","","프로필","인물","400×400","인물 - 1.webp"
"MY-01","","프로필","인물","400×400","인물 - 2.webp"
"MY-01","","물건 사진","시술","1000×1000","제품 - 16.webp"
"MY-01","","물건 사진","시술","1000×1000","제품 - 17.webp"
"MY-01","","물건 사진","시술","1000×1000","제품 - 18.webp"
"MY-01","","물건 사진","시술","1000×1000","제품 - 1.webp"
"MY-01","","프로필","인물","400×400","인물 - 4.webp"
"MY-01","","프로필","인물","400×400","인물 - 5.webp"
"MY-01","","프로필","인물","400×400","인물 - 6.webp"
"MY-01","","프로필","인물","400×400","인물 - 7.webp"
"MY-02","","프로필","인물","400×400","인물 - 8.webp"
"MY-02","","물건 사진","시술","1000×1000","제품 - 2.webp"
"MY-02","","물건 사진","시술","1000×1000","제품 - 6.webp"
"MY-02","","물건 사진","시술","1000×1000","제품 - 7.webp"
"MY-02","","물건 사진","시술","1000×1000","제품 - 8.webp"
"MY-02","","물건 사진","시술","1000×1000","제품 - 9.webp"
"MY-03","","프로필","인물","400×400","인물 - 9.webp"
"MY-03","","물건 사진","시술","1000×1000","제품 - 11.webp"
"MY-03","","물건 사진","시술","1000×1000","제품 - 12.webp"
"MY-03","","물건 사진","시술","1000×1000","제품 - 13.webp"
"MY-03","","물건 사진","시술","1000×1000","제품 - 14.webp"
"MY-03","","물건 사진","시술","1000×1000","제품 - 15.webp"
"MY-03","","물건 사진","시술","1000×1000","제품 - 16.webp"
"MY-03","","물건 사진","시술","1000×1000","제품 - 17.webp"
"MY-03","","물건 사진","시술","1000×1000","제품 - 18.webp"
"MY-04","","프로필","인물","400×400","인물 - 12.webp"
"MY-04","","프로필","인물","400×400","인물 - 13.webp"
"MY-05","","프로필","인물","400×400","인물 - 14.webp"
"MY-05","","프로필","인물","400×400","인물 - 15.webp"
"MY-05","","물건 사진","시술","1000×1000","제품 - 1.webp"
"MY-05","","프로필","인물","400×400","인물 - 16.webp"
"MY-05","","물건 사진","시술","1000×1000","제품 - 2.webp"
"MY-05","","프로필","인물","400×400","인물 - 17.webp"
"MY-05","","물건 사진","시술","1000×1000","제품 - 6.webp"
"MY-05","","프로필","인물","400×400","인물 - 18.webp"
"MY-05","","물건 사진","시술","1000×1000","제품 - 7.webp"
"MY-05","","프로필","인물","400×400","인물 - 19.webp"
"MY-05","","물건 사진","시술","1000×1000","제품 - 8.webp"
"MY-05","","프로필","인물","400×400","인물 - 20.webp"
"MY-05","","물건 사진","시술","1000×1000","제품 - 9.webp"
"MY-05","","프로필","인물","400×400","인물 - 1.webp"
"MY-05","","물건 사진","시술","1000×1000","제품 - 11.webp"
"MY-05","","프로필","인물","400×400","인물 - 2.webp"
"MY-05","","물건 사진","시술","1000×1000","제품 - 12.webp"
"MY-06","","프로필","인물","400×400","인물 - 4.webp"
"PA-01","","프로필","인물","400×400","인물 - 5.webp"
"PA-01","","물건 사진","시술","1000×1000","제품 - 13.webp"
"PA-02","","프로필","인물","400×400","인물 - 6.webp"
"PA-02","","물건 사진","시술","1000×1000","제품 - 14.webp"
"PA-03","","프로필","인물","400×400","인물 - 7.webp"
"PA-03","","물건 사진","시술","1000×1000","제품 - 15.webp"
"PA-04","","프로필","인물","400×400","인물 - 8.webp"
"PA-04","","물건 사진","시술","1000×1000","제품 - 16.webp"
"PA-05","","프로필","인물","400×400","인물 - 9.webp"
"PA-05","","물건 사진","시술","1000×1000","제품 - 17.webp"
"PA-05","","물건 사진","시술","1000×1000","제품 - 18.webp"
"SE-01","","프로필","인물","400×400","인물 - 12.webp"
"SE-02","","프로필","인물","400×400","인물 - 13.webp"
"SE-02","","물건 사진","시술","1000×1000","제품 - 1.webp"
"SE-02","","물건 사진","시술","1000×1000","제품 - 2.webp"
"SE-02","","물건 사진","시술","1000×1000","제품 - 6.webp"
"SE-02","","물건 사진","시술","1000×1000","제품 - 7.webp"
"SE-02","","물건 사진","시술","1000×1000","제품 - 8.webp"
"SE-02","","물건 사진","시술","1000×1000","제품 - 9.webp"
"SE-02","","물건 사진","시술","1000×1000","제품 - 11.webp"
"SE-02","","물건 사진","시술","1000×1000","제품 - 12.webp"
"SE-02","","물건 사진","시술","1000×1000","제품 - 13.webp"
"SE-02","","물건 사진","시술","1000×1000","제품 - 14.webp"
"SE-02","","물건 사진","시술","1000×1000","제품 - 15.webp"
"SE-02","","물건 사진","시술","1000×1000","제품 - 16.webp"
"SE-02","","물건 사진","시술","1000×1000","제품 - 17.webp"
"SE-02","","물건 사진","시술","1000×1000","제품 - 18.webp"
"SE-02","","물건 사진","시술","1000×1000","제품 - 3.webp"
"SE-02","","물건 사진","시술","1000×1000","제품 - 4.webp"
"SE-03","","프로필","인물","400×400","인물 - 14.webp"
"SE-03","","물건 사진","시술","1000×1000","제품 - 1.webp"
"SE-03","","물건 사진","시술","1000×1000","제품 - 2.webp"
"SE-03","","물건 사진","시술","1000×1000","제품 - 6.webp"
"SE-03","","물건 사진","시술","1000×1000","제품 - 7.webp"
"SE-03","","물건 사진","시술","1000×1000","제품 - 8.webp"
"SE-04","","프로필","인물","400×400","인물 - 15.webp"
"SE-04","","물건 사진","시술","1200×900","제품 - 9.webp"
"SE-04","","물건 사진","시술","1000×1000","제품 - 11.webp"
"SE-04","","물건 사진","시술","1000×1000","제품 - 12.webp"
"SE-04","","물건 사진","시술","1000×1000","제품 - 13.webp"
"SE-04","","물건 사진","시술","1000×1000","제품 - 14.webp"
"SE-04","","물건 사진","시술","1000×1000","제품 - 15.webp"
"SE-04","","프로필","인물","400×400","인물 - 16.webp"
"SE-04","","물건 사진","시술","1000×1000","제품 - 16.webp"
"SE-04","","물건 사진","시술","1000×1000","제품 - 17.webp"
"SE-04","","프로필","인물","400×400","인물 - 17.webp"
"SE-05","","프로필","인물","400×400","인물 - 18.webp"
"SE-05","","물건 사진","시술","1000×1000","제품 - 18.webp"
"SE-05","","물건 사진","시술","1000×1000","제품 - 1.webp"
"SE-05","","물건 사진","시술","1000×1000","제품 - 2.webp"
"SE-05","","물건 사진","시술","1000×1000","제품 - 6.webp"
"SL-01","","프로필","인물","400×400","인물 - 19.webp"
"SL-01","","물건 사진","시술","1000×1000","제품 - 7.webp"
"SL-01","","물건 사진","시술","1000×1000","제품 - 8.webp"
"SL-01","","물건 사진","시술","1000×1000","제품 - 9.webp"
"SL-02","","프로필","인물","400×400","인물 - 20.webp"
"SL-02","","물건 사진","시술","1000×1000","제품 - 11.webp"
"SL-02","","물건 사진","시술","1000×1000","제품 - 12.webp"
"SL-02","","물건 사진","시술","1000×1000","제품 - 13.webp"
"SL-02","","물건 사진","시술","1000×1000","제품 - 14.webp"
"SL-02","","물건 사진","시술","1000×1000","제품 - 15.webp"
"SL-02","","물건 사진","시술","1000×1000","제품 - 16.webp"
"SL-02","","물건 사진","시술","1000×1000","제품 - 17.webp"
"SL-03","","프로필","인물","400×400","인물 - 1.webp"
"SL-03","","물건 사진","시술","1000×1000","제품 - 18.webp"
"SL-03","","물건 사진","시술","1000×1000","제품 - 1.webp"
"SL-03","","물건 사진","시술","1000×1000","제품 - 2.webp"
"SL-03","","물건 사진","시술","1000×1000","제품 - 6.webp"
"SL-04","","프로필","인물","400×400","인물 - 2.webp"
"SL-04","","물건 사진","시술","1000×1000","제품 - 7.webp"
"SL-05","","프로필","인물","400×400","인물 - 4.webp"
"SL-05","","물건 사진","시술","1000×1000","제품 - 8.webp"
"SL-05","","물건 사진","시술","1000×1000","제품 - 9.webp"
"SL-05","","물건 사진","시술","1000×1000","제품 - 11.webp"
"SL-05","","물건 사진","시술","1000×1000","제품 - 12.webp"
"SL-05","","물건 사진","시술","1000×1000","제품 - 13.webp"
"SL-05","","물건 사진","시술","1000×1000","제품 - 14.webp"
