"화면ID","화면명","어떤 자리","종류","권장 크기","지금 들어간 사진"
"AU0401","회원가입 완료","강의 썸네일","시술","1200×900","06_working_lunch.webp"
"AU0401","회원가입 완료","강의 썸네일","시술","1200×900","09_blanket_overtime.webp"
"AU0401","회원가입 완료","강의 썸네일","시술","1200×900","02_deep_focus.webp"
"AU0401","회원가입 완료","강의 썸네일","시술","1200×900","10_task_complete.webp"
"AU0401","회원가입 완료","강의 썸네일","시술","1200×900","01_login.webp"
"AU0401","회원가입 완료","강의 썸네일","시술","1200×900","03_video_meeting.webp"
"AU0401","회원가입 완료","강의 썸네일","시술","1200×900","04_bug_found.webp"
"AU0401","회원가입 완료","강의 썸네일","시술","1200×900","06_rooftop.webp"
"AU0401","회원가입 완료","강의 썸네일","시술","1200×900","07_bookstore.webp"
"AU0401","회원가입 완료","강의 썸네일","시술","1200×900","05_solution_mapping.webp"
"AU0401","회원가입 완료","강의 썸네일","시술","1200×900","08_notification_overload.webp"
"AU0401","회원가입 완료","강의 썸네일","시술","1200×900","01_bed_laptop.webp"
"CL0101","내 강의실 - 수강 중","강의 썸네일","시술","1200×900","06_working_lunch.webp"
"CL0101","내 강의실 - 수강 중","강의 썸네일","시술","1200×900","03_video_meeting.webp"
"CL0101","내 강의실 - 수강 중","강의 썸네일","시술","1200×900","01_login.webp"
"CL0101","내 강의실 - 수강 중","강의 썸네일","시술","1200×900","02_deep_focus.webp"
"CL0101","내 강의실 - 수강 중","강의 썸네일","시술","1200×900","06_rooftop.webp"
"CL0102","내 강의실 - 수강 중 > 수강 완료 탭","강의","시술","1200×900","09_blanket_overtime.webp"
"CL0102","내 강의실 - 수강 중 > 수강 완료 탭","강의","시술","1200×900","01_login.webp"
"CL0103","내 강의실 - 수강 중 > 수강 기간 만료 임박","강의 썸네일","시술","1200×900","06_working_lunch.webp"
"CL0104","내 강의실 - 수강 중 > 수강 기간 만료","강의 썸네일","시술","1200×900","01_login.webp"
"CL0201","내 강의실 - 비어 있음","강의 썸네일","시술","1200×900","01_login.webp"
"CL0201","내 강의실 - 비어 있음","강의 썸네일","시술","1200×900","07_bookstore.webp"
"CL0201","내 강의실 - 비어 있음","강의 썸네일","시술","1200×900","06_rooftop.webp"
"CL0201","내 강의실 - 비어 있음","강의 썸네일","시술","800×800","06_working_lunch.webp"
"CL0201","내 강의실 - 비어 있음","강의 썸네일","시술","800×800","09_blanket_overtime.webp"
"CL0201","내 강의실 - 비어 있음","강의 썸네일","시술","800×800","02_deep_focus.webp"
"CL0201","내 강의실 - 비어 있음","강의 썸네일","시술","800×800","10_task_complete.webp"
"CL0301","강의 재생","강의 영상","시술","1280×720","03_video_meeting.webp"
"CO0101","강의 목록","강의 썸네일","시술","1200×900","06_working_lunch.webp"
"CO0101","강의 목록","강의 썸네일","시술","1200×900","09_blanket_overtime.webp"
"CO0101","강의 목록","강의 썸네일","시술","1200×900","02_deep_focus.webp"
"CO0101","강의 목록","강의 썸네일","시술","1200×900","10_task_complete.webp"
"CO0101","강의 목록","강의 썸네일","시술","1200×900","01_login.webp"
"CO0101","강의 목록","강의 썸네일","시술","1200×900","03_video_meeting.webp"
"CO0101","강의 목록","강의 썸네일","시술","1200×900","04_bug_found.webp"
"CO0101","강의 목록","강의 썸네일","시술","1200×900","06_rooftop.webp"
"CO0101","강의 목록","강의 썸네일","시술","1200×900","07_bookstore.webp"
"CO0101","강의 목록","강의 썸네일","시술","1200×900","05_solution_mapping.webp"
"CO0101","강의 목록","강의 썸네일","시술","1200×900","08_notification_overload.webp"
"CO0101","강의 목록","강의 썸네일","시술","1200×900","01_bed_laptop.webp"
"CO0102","강의 목록 > 필터 적용 상태","강의","시술","1200×900","06_working_lunch.webp"
"CO0102","강의 목록 > 필터 적용 상태","강의","시술","1200×900","09_blanket_overtime.webp"
"CO0102","강의 목록 > 필터 적용 상태","강의","시술","1200×900","02_deep_focus.webp"
"CO0102","강의 목록 > 필터 적용 상태","강의","시술","1200×900","10_task_complete.webp"
"CO0102","강의 목록 > 필터 적용 상태","강의","시술","1200×900","01_login.webp"
"CO0201","강의 목록 - 검색 결과 없음","강의 썸네일","시술","1200×900","06_working_lunch.webp"
"CO0201","강의 목록 - 검색 결과 없음","강의 썸네일","시술","1200×900","09_blanket_overtime.webp"
"CO0201","강의 목록 - 검색 결과 없음","강의 썸네일","시술","1200×900","02_deep_focus.webp"
"CO0201","강의 목록 - 검색 결과 없음","강의 썸네일","시술","1200×900","10_task_complete.webp"
"CO0201","강의 목록 - 검색 결과 없음","강의 썸네일","시술","1200×900","01_login.webp"
"CO0201","강의 목록 - 검색 결과 없음","강의 썸네일","시술","1200×900","03_video_meeting.webp"
"CO0201","강의 목록 - 검색 결과 없음","강의 썸네일","시술","1200×900","04_bug_found.webp"
"CO0201","강의 목록 - 검색 결과 없음","강의 썸네일","시술","1200×900","06_rooftop.webp"
"CO0201","강의 목록 - 검색 결과 없음","강의 썸네일","시술","1200×900","07_bookstore.webp"
"CO0201","강의 목록 - 검색 결과 없음","강의 썸네일","시술","1200×900","05_solution_mapping.webp"
"CO0201","강의 목록 - 검색 결과 없음","강의 썸네일","시술","1200×900","08_notification_overload.webp"
"CO0201","강의 목록 - 검색 결과 없음","강의 썸네일","시술","1200×900","01_bed_laptop.webp"
"CO0201","강의 목록 - 검색 결과 없음","강의 썸네일","시술","800×800","06_working_lunch.webp"
"CO0201","강의 목록 - 검색 결과 없음","강의 썸네일","시술","800×800","09_blanket_overtime.webp"
"CO0201","강의 목록 - 검색 결과 없음","강의 썸네일","시술","800×800","01_login.webp"
"CO0201","강의 목록 - 검색 결과 없음","강의 썸네일","시술","800×800","04_bug_found.webp"
"CO0202","강의 목록 - 검색 결과 없음 > 필터 과다 안내","강의 썸네일","시술","1200×900","06_working_lunch.webp"
"CO0202","강의 목록 - 검색 결과 없음 > 필터 과다 안내","강의 썸네일","시술","1200×900","09_blanket_overtime.webp"
"CO0202","강의 목록 - 검색 결과 없음 > 필터 과다 안내","강의 썸네일","시술","1200×900","02_deep_focus.webp"
"CO0202","강의 목록 - 검색 결과 없음 > 필터 과다 안내","강의 썸네일","시술","1200×900","10_task_complete.webp"
"CO0301","강의 상세","강의 소개 영상","시술","1280×720","03_video_meeting.webp"
"CO0301","강의 상세","강의 상세 이미지","시술","1600×600","02_deep_focus.webp"
"CO0301","강의 상세","프로필","인물","400×400","인물 - 1.webp"
"CO0301","강의 상세","프로필","인물","400×400","인물 - 2.webp"
"CO0301","강의 상세","프로필","인물","400×400","인물 - 3.webp"
"CO0301","강의 상세","프로필","인물","400×400","인물 - 4.webp"
"CO0301","강의 상세","프로필","인물","400×400","인물 - 5.webp"
"CO0301","강의 상세","프로필","인물","400×400","인물 - 6.webp"
"CO0301","강의 상세","프로필","인물","400×400","인물 - 7.webp"
"CO0304","강의 상세 > 강사 소개 탭","강사 사진","인물","400×400","인물 - 8.webp"
"CO0304","강의 상세 > 강사 소개 탭","강의 썸네일","시술","1200×900","01_login.webp"
"CO0304","강의 상세 > 강사 소개 탭","강의 썸네일","시술","1200×900","08_notification_overload.webp"
"CO0305","강의 상세 > 미리보기 재생 모달","강의 썸네일","시술","1200×900","06_working_lunch.webp"
"CO0306","강의 상세 > 이미 수강 중 상태","강의 썸네일","시술","1200×900","06_working_lunch.webp"
"CO0401","수강 신청 - 결제","강의 썸네일","시술","1200×900","06_working_lunch.webp"
