"화면ID","화면명","어떤 자리","종류","권장 크기","지금 들어간 사진"
"AD0101","신고 처리 대기열","프로필","인물","400×400","인물 - 1.webp"
"AD0102","신고 처리 대기열 > 상태 탭","프로필","인물","400×400","인물 - 2.webp"
"AD0103","신고 처리 대기열 > 사유·긴급도 필터","프로필","인물","400×400","인물 - 4.webp"
"AD0104","신고 처리 대기열 > 같은 대상 묶어 보기","프로필","인물","400×400","인물 - 5.webp"
"AD0105","신고 처리 대기열 > 기한 넘김 강조","프로필","인물","400×400","인물 - 6.webp"
"AD0106","신고 처리 대기열 > 담당자 지정","프로필","인물","400×400","인물 - 7.webp"
"AD0107","신고 처리 대기열 > 대기열 비었음","프로필","인물","400×400","인물 - 8.webp"
"AD0201","신고 상세·조치","프로필","인물","400×400","인물 - 9.webp"
"AD0201","신고 상세·조치","물건 사진","시술","1000×1000","제품 - 1.webp"
"AD0201","신고 상세·조치","물건 사진","시술","1000×1000","제품 - 2.webp"
"AD0201","신고 상세·조치","물건 사진","시술","1000×1000","제품 - 6.webp"
"AD0201","신고 상세·조치","물건 사진","시술","1000×1000","제품 - 7.webp"
"AD0201","신고 상세·조치","프로필","인물","400×400","인물 - 12.webp"
"AD0201","신고 상세·조치","물건 사진","시술","1000×1000","제품 - 8.webp"
"AD0202","신고 상세·조치 > 신고된 대화 원본","프로필","인물","400×400","인물 - 13.webp"
"AD0202","신고 상세·조치 > 신고된 대화 원본","신고자가 올린 대화 캡처","시술","900×1200","제품 - 9.webp"
"AD0202","신고 상세·조치 > 신고된 대화 원본","서버에 남은 대화 원본","시술","900×1200","제품 - 11.webp"
"AD0203","신고 상세·조치 > 조치 고르기","프로필","인물","400×400","인물 - 14.webp"
"AD0204","신고 상세·조치 > 안내 문구 미리보기","프로필","인물","400×400","인물 - 15.webp"
"AD0205","신고 상세·조치 > 조치 확정","프로필","인물","400×400","인물 - 16.webp"
"AD0301","금지품목·거래규칙 관리","프로필","인물","400×400","인물 - 17.webp"
"AD0302","금지품목·거래규칙 관리 > 금지 낱말 관리","프로필","인물","400×400","인물 - 18.webp"
"AD0303","금지품목·거래규칙 관리 > 규칙 미리 재보기","프로필","인물","400×400","인물 - 19.webp"
"AD0304","금지품목·거래규칙 관리 > 거래 규칙 문구 편집","프로필","인물","400×400","인물 - 20.webp"
"AD0305","금지품목·거래규칙 관리 > 저장 전 영향 요약","프로필","인물","400×400","인물 - 1.webp"
"AD0401","안전결제 정산·분쟁","프로필","인물","400×400","인물 - 2.webp"
"AD0402","안전결제 정산·분쟁 > 기간·검색","프로필","인물","400×400","인물 - 4.webp"
"AD0403","안전결제 정산·분쟁 > 합계 검산","프로필","인물","400×400","인물 - 5.webp"
"AD0404","안전결제 정산·분쟁 > 정산 보류","프로필","인물","400×400","인물 - 6.webp"
"AD0405","안전결제 정산·분쟁 > 분쟁 양쪽 보기","프로필","인물","400×400","인물 - 7.webp"
"AD0405","안전결제 정산·분쟁 > 분쟁 양쪽 보기","물건 사진","시술","1000×1000","제품 - 12.webp"
"AD0405","안전결제 정산·분쟁 > 분쟁 양쪽 보기","물건 사진","시술","1000×1000","제품 - 13.webp"
"AD0405","안전결제 정산·분쟁 > 분쟁 양쪽 보기","물건 사진","시술","1000×1000","제품 - 14.webp"
"AD0405","안전결제 정산·분쟁 > 분쟁 양쪽 보기","물건 사진","시술","1000×1000","제품 - 15.webp"
"AD0405","안전결제 정산·분쟁 > 분쟁 양쪽 보기","물건 사진","시술","1000×1000","제품 - 16.webp"
"AD0405","안전결제 정산·분쟁 > 분쟁 양쪽 보기","판매자 포장 사진 — 조이콘 부분","시술","1200×900","제품 - 17.webp"
"AD0405","안전결제 정산·분쟁 > 분쟁 양쪽 보기","구매자 개봉 사진 — 조이콘 부분","시술","1200×900","제품 - 18.webp"
"AD0406","안전결제 정산·분쟁 > 분쟁 판단","프로필","인물","400×400","인물 - 8.webp"
"BS0101","끌올하기","프로필","인물","400×400","인물 - 9.webp"
"BS0101","끌올하기","물건 사진","시술","1000×1000","제품 - 1.webp"
"BS0101","끌올하기","물건 사진","시술","1000×1000","제품 - 2.webp"
