날짜,업종,묶음,항목번호,무엇이틀렸나,어떻게고쳤나,상태,근거파일
2026-08-18,매칭,④⑤ 완성화면,A2,"check-design: .idx-list 줄 간격에 날숫자 10px 을 직접 적었다(디럭스·프리미엄 둘 다) — 여행 팩은 같은 자리에 var(--s2) 토큰을 쓰고 있었다","gap:10px → gap:var(--s2) 로 토큰화. check-design 재실행해 통과 확인",고침,매칭_디럭스·매칭_프리미엄/완성화면/assets/css/base.css
2026-08-18,인테리어,④ 완성화면(2뎁스),A2,"check-design: .ph .lb(자리표 안내 글자) 색 #8B94A6 가 바탕 #EEF2F7 위에서 대비 2.71 — 아이콘이라도 3.0 은 넘어야 하는데 못 미쳤다",색을 var(--muted)(#666666) 로 바꿔 대비 확보. check-design 재실행해 통과 확인,고침,인테리어_디럭스/완성화면/assets/css/base.css:591
2026-08-18,인테리어,⑤ 완성화면(3뎁스),G1,"check-반응: AS0103 의 삭제(✕) 아이콘 버튼 2개 · CT0101 의 「크게 보기」 버튼 2개가 눌러도 반응이 없었다. 원인 추적 — 같은 이름(아리아라벨/글자)의 버튼이 한 화면에 여럿이라, 「마지막 그물」이 이름을 그대로 읽어 주는 토스트를 반복해서 만들었는데 매번 같은 문구라 body.innerHTML 이 바뀌지 않은 것으로 보였다(직접 재현: 첫 클릭만 감지, 둘째부터 무반응)","app.js 에 전용 손잡이 추가 — 삭제 버튼은 실제로 미리보기 칸을 지우고, 「크게 보기」는 제 글자를 크게 보기/접기로 스스로 바꾼다. check-반응 재실행해 4건→0건 확인",고침,인테리어_프리미엄/완성화면/assets/js/app.js
2026-08-18,장비렌탈,④⑤ 완성화면,F4·E1,"check-사진채움: 자리표(디럭스 100곳·프리미엄 175곳)가 «한 개도» 안 채워져 있었다. `_이미지/팩용/장비렌탈/` 폴더가 아예 없어서였다 — 사장님이 대신 `_이미지/팩용/장비` 폴더(굴착기·낚시·믹서·청소기 등 25장, 캠핑·카메라 대여 업종과 안 맞는 사진이 섞인 범용 「장비」 스톡)를 알려 주셨다. 25장을 다 열어 확인해 보니 캠핑(텐트·타프·침낭·화로대·의자) 사진은 «한 장도» 없었다","1차로 캠핑·카메라 관련 11장만 추려 끼웠다가, 사장님이 「예시 이미지일 뿐이니 회색으로 두지 말고 아무 사진이나 채워 달라」고 다시 지시해 **25장 전부**로 되돌려 끼웠다(굴착기·주방가전 등 업종과 안 맞는 사진도 포함). `_이미지/사진/장비렌탈/`에 25장을 담아 `이미지-예시만들기.mts`로 워터마크(webp·1400px)를 박고, `이미지-끼우기.mts`로 두 등급에 끼웠다. check-사진채움·check-사진 재실행해 통과 확인(디럭스 자리 101/사진 98, 프리미엄 자리 176/사진 172) — 캠핑 카테고리도 이제 사진이 채워진다(내용은 안 맞을 수 있음, 사장님 승인)",고침,"장비렌탈_디럭스·프리미엄/완성화면 · 판매용_템플릿/_이미지/팩용/장비렌탈/(신규, 25장) · _이미지/사진/장비렌탈/출처.csv(빈 채로 생성, 채워야 함)"
2026-08-18,매칭,①A. 재료,A1,"check-presets: 「매칭」 업종은 designConcept 글에 색 hex 코드가 없어 색 대비 표에 «(색 없음)»으로 빠진다(LMS·뷰티샵·여행·관리자·공동구매는 다 hex 를 적어 뒀다). 실제 화면 색은 check-겉표지로 따로 확인해 이상 없었다","고치지 않음 — template-data-matching.ts 의 글을 프로토타입 의도상 서술형으로 남겨 둔 것일 수 있어 사장님 확인 후 정할 일",사람확인필요,template-data-matching.ts:16-17
2026-08-18,(도구),검수도구,E3,"check-평평함.mts 가 탭(`[hidden]`)으로 나뉜 내용을 이어 붙여 «한 줄»로 잘못 셌다 — 인테리어 CS-04(자재 고르기, 탭 5개×각 2~3장)가 13개 연속으로 잡혔는데 실제로는 한 번에 3장만 보인다. 글자만 훑는 검사기라 탭 경계를 몰랐다",check-평평함.mts 에 data-pane-body(탭 칸) 경계를 만나면 이어짐 세기를 끊도록 고침. 전체 팩(14개)에 재실행해 회귀 없음 확인,고침,check-평평함.mts
2026-08-18,매칭,B9,B9,check-zip날짜: base.css 를 고쳐서 디럭스·프리미엄 zip 이 팩보다 옛것이 됐다,zip 을 다시 굽지 않음(마무리 루틴 몫) — package-template.mts --zip 필요,사람확인필요,매칭_디럭스·매칭_프리미엄.zip
2026-08-18,인테리어,B9,B9,check-zip날짜: base.css·app.js 를 고쳐서 디럭스·프리미엄 zip 이 팩보다 옛것이 됐다,zip 을 다시 굽지 않음(마무리 루틴 몫) — package-template.mts --zip 필요,사람확인필요,인테리어_디럭스·인테리어_프리미엄.zip
2026-08-18,장비렌탈,B9,B9,check-zip날짜: 사진을 끼워서 디럭스·프리미엄 zip 이 팩보다 옛것이 됐다,zip 을 다시 굽지 않음(마무리 루틴 몫) — package-template.mts --zip 필요,사람확인필요,장비렌탈_디럭스·장비렌탈_프리미엄.zip
2026-08-18,(도구),검수도구,D,"check-레이아웃·check-반응 의 「오늘」이 `new Date().toISOString()`(UTC 기준)이라 새벽 1시대(KST) 검수는 «어제» 날짜 폴더(2026-08-17)에 캡처가 쌓인다 — 실제로 이번 회차 캡처도 거기 있다","고치지 않음 — check-레이아웃.mts·check-반응.mts 는 A 도 같이 쓰는 도구라 이번 동시 실행 중에는 손대지 않았다. 다음에 한쪽이 한가할 때 KST 기준 날짜로 고치는 게 좋겠다",사람확인필요,check-레이아웃.mts · check-반응.mts
