"화면ID","화면명","어떤 자리","종류","권장 크기","지금 들어간 사진"
"AU0203","회원가입 > 약관 전문 보기","프로필","인물","400×400","인물 - 1.webp"
"AU0303","회원가입 - 휴대폰 인증 > 왜 인증이 필요한가","프로필","인물","400×400","인물 - 2.webp"
"AU0401","회원가입 완료","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"AU0401","회원가입 완료","고수 프로필","인물","400×400","매칭_청소_라쿤.webp"
"AU0401","회원가입 완료","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"AU0402","회원가입 완료 > 추천 고수","프로필","인물","400×400","인물 - 4.webp"
"AU0402","회원가입 완료 > 추천 고수","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"AU0402","회원가입 완료 > 추천 고수","고수 프로필","인물","400×400","매칭_청소_라쿤.webp"
"AU0402","회원가입 완료 > 추천 고수","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"CH0101","채팅 목록","프로필","인물","400×400","인물 - 5.webp"
"CH0101","채팅 목록","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"CH0101","채팅 목록","고수 프로필","인물","400×400","매칭_가전수리_수달.webp"
"CH0101","채팅 목록","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"CH0101","채팅 목록","고수 프로필","인물","400×400","매칭_촬영_페넥.webp"
"CH0102","채팅 목록 > 대화 없음","프로필","인물","400×400","인물 - 6.webp"
"CH0103","채팅 목록 > 안 읽음 필터","프로필","인물","400×400","인물 - 7.webp"
"CH0103","채팅 목록 > 안 읽음 필터","프로필","인물","400×400","인물 - 8.webp"
"CH0103","채팅 목록 > 안 읽음 필터","프로필","인물","400×400","인물 - 9.webp"
"CH0103","채팅 목록 > 안 읽음 필터","프로필","인물","400×400","인물 - 12.webp"
"CH0201","채팅방","프로필","인물","400×400","인물 - 13.webp"
"CH0201","채팅방","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"CH0201","채팅방","프로필","인물","400×400","인물 - 14.webp"
"CH0201","채팅방","프로필","인물","400×400","인물 - 15.webp"
"CH0201","채팅방","프로필","인물","400×400","인물 - 16.webp"
"CH0201","채팅방","프로필","인물","400×400","인물 - 17.webp"
"CH0201","채팅방","고수 프로필","인물","400×400","매칭_이사_곰사슴.webp"
"CH0202","채팅방 > 사진·파일 보내기","프로필","인물","400×400","인물 - 18.webp"
"CH0202","채팅방 > 사진·파일 보내기","작업 사진","시술","1200×900","매칭_펫케어_골든.webp"
"CH0202","채팅방 > 사진·파일 보내기","작업 사진","시술","1200×900","매칭_요리_카피바라.webp"
