"화면ID","화면명","어떤 자리","종류","권장 크기","지금 들어간 사진"
"AC0101","내 정보","프로필","인물","400×400","뷰티 - 8.webp"
"AC0102","내 정보 > 연락처 인증","프로필","인물","400×400","뷰티 - 14.webp"
"AC0103","내 정보 > 회원 탈퇴 확인","프로필","인물","400×400","인물 - 1.webp"
"HO0101","홈 - 비로그인","매장 대표","매장","1200×1200","뷰티샵_샴푸받기_골든.webp"
"HO0101","홈 - 비로그인","시술","시술","800×800","뷰티샵_네일_물범.webp"
"HO0101","홈 - 비로그인","시술","시술","800×800","뷰티샵_네일_양.webp"
"HO0101","홈 - 비로그인","시술","시술","800×800","뷰티샵_네일_카피바라.webp"
"HO0101","홈 - 비로그인","시술","시술","800×800","뷰티샵_상담_색상.webp"
"HO0101","홈 - 비로그인","매장 대표","매장","1200×900","뷰티샵_커트_알파카.webp"
"HO0101","홈 - 비로그인","매장 대표","매장","1200×900","뷰티샵_네일_토끼.webp"
"HO0101","홈 - 비로그인","매장 대표","매장","1200×900","뷰티샵_드라이_코기.webp"
"HO0101","홈 - 비로그인","매장 대표","매장","1200×900","뷰티샵_메이크업_고양이.webp"
"HO0101","홈 - 비로그인","매장 대표","매장","1200×900","뷰티샵_스파_토끼.webp"
"HO0101","홈 - 비로그인","매장 대표","매장","1200×900","뷰티샵_기기_쥐.webp"
"HO0101","홈 - 비로그인","매장 대표","매장","1200×900","뷰티샵_염색_라쿤.webp"
"HO0101","홈 - 비로그인","매장 대표","매장","1200×900","뷰티샵_샴푸_사모예드.webp"
"HO0101","홈 - 비로그인","시술","시술","800×800","뷰티샵_상담_수달.webp"
"HO0101","홈 - 비로그인","시술","시술","800×800","뷰티샵_염색_여우.webp"
"HO0101","홈 - 비로그인","시술","시술","800×800","뷰티샵_상담_시바.webp"
"HO0101","홈 - 비로그인","시술","시술","800×800","뷰티 - 1.webp"
"HO0101","홈 - 비로그인","시술","시술","800×800","뷰티 - 2.webp"
"HO0101","홈 - 비로그인","시술","시술","800×800","뷰티 - 4.webp"
"HO0101","홈 - 비로그인","시술","시술","800×800","뷰티 - 5.webp"
"HO0101","홈 - 비로그인","시술","시술","800×800","뷰티 - 10.webp"
"HO0101","홈 - 비로그인","시술","시술","800×800","뷰티 - 6.webp"
"HO0101","홈 - 비로그인","시술","시술","800×800","뷰티 - 7.webp"
"HO0101","홈 - 비로그인","시술","시술","800×800","뷰티 - 8.webp"
"HO0101","홈 - 비로그인","시술","시술","800×800","뷰티 - 14.webp"
"HO0101","홈 - 비로그인","매장 대표","매장","1200×900","뷰티샵_염색_라쿤.webp"
"HO0101","홈 - 비로그인","매장 대표","매장","1200×900","뷰티샵_샴푸_사모예드.webp"
"HO0101","홈 - 비로그인","매장 대표","매장","1200×900","뷰티샵_드라이_푸들.webp"
"HO0101","홈 - 비로그인","매장 대표","매장","1200×900","뷰티샵_네일_푸들.webp"
"HO0101","홈 - 비로그인","매장 대표","매장","1200×900","뷰티샵_상담_알파카.webp"
"HO0101","홈 - 비로그인","매장 대표","매장","1200×900","뷰티샵_커트받기_보더콜리.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","매장 대표","매장","1200×900","뷰티샵_커트_알파카.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","매장 대표","매장","1200×900","뷰티샵_네일_토끼.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","매장 대표","매장","1200×900","뷰티샵_드라이_코기.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","매장 대표","매장","1200×900","뷰티샵_메이크업_고양이.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","매장 대표","매장","1200×900","뷰티샵_스파_토끼.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","매장 대표","매장","1200×900","뷰티샵_기기_쥐.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","매장 대표","매장","1200×900","뷰티샵_염색_라쿤.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","매장 대표","매장","1200×900","뷰티샵_샴푸_사모예드.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","시술","시술","800×800","뷰티샵_네일_물범.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","시술","시술","800×800","뷰티샵_네일_양.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","시술","시술","800×800","뷰티샵_네일_카피바라.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","시술","시술","800×800","뷰티샵_상담_색상.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","시술","시술","800×800","뷰티샵_상담_수달.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","시술","시술","800×800","뷰티샵_염색_여우.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","시술","시술","800×800","뷰티샵_샴푸받기_골든.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","시술","시술","800×800","뷰티샵_상담_시바.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","시술","시술","800×800","뷰티 - 1.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","시술","시술","800×800","뷰티 - 2.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","시술","시술","800×800","뷰티 - 4.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","시술","시술","800×800","뷰티 - 5.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","매장 대표","매장","1200×900","뷰티샵_염색_라쿤.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","매장 대표","매장","1200×900","뷰티샵_샴푸_사모예드.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","매장 대표","매장","1200×900","뷰티샵_드라이_푸들.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","매장 대표","매장","1200×900","뷰티샵_네일_푸들.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","매장 대표","매장","1200×900","뷰티샵_상담_알파카.webp"
"HO0102","홈 - 비로그인 > 위치 권한 거부","매장 대표","매장","1200×900","뷰티샵_커트받기_보더콜리.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","매장 대표","매장","1200×900","뷰티샵_커트_알파카.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","매장 대표","매장","1200×900","뷰티샵_네일_토끼.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","매장 대표","매장","1200×900","뷰티샵_드라이_코기.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","매장 대표","매장","1200×900","뷰티샵_메이크업_고양이.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","매장 대표","매장","1200×900","뷰티샵_스파_토끼.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","매장 대표","매장","1200×900","뷰티샵_기기_쥐.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","매장 대표","매장","1200×900","뷰티샵_염색_라쿤.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","매장 대표","매장","1200×900","뷰티샵_샴푸_사모예드.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","시술","시술","800×800","뷰티샵_네일_물범.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","시술","시술","800×800","뷰티샵_네일_양.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","시술","시술","800×800","뷰티샵_네일_카피바라.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","시술","시술","800×800","뷰티샵_상담_색상.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","시술","시술","800×800","뷰티샵_상담_수달.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","시술","시술","800×800","뷰티샵_염색_여우.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","시술","시술","800×800","뷰티샵_샴푸받기_골든.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","시술","시술","800×800","뷰티샵_상담_시바.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","시술","시술","800×800","뷰티 - 1.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","시술","시술","800×800","뷰티 - 2.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","시술","시술","800×800","뷰티 - 4.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","시술","시술","800×800","뷰티 - 5.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","매장 대표","매장","1200×900","뷰티샵_염색_라쿤.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","매장 대표","매장","1200×900","뷰티샵_샴푸_사모예드.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","매장 대표","매장","1200×900","뷰티샵_드라이_푸들.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","매장 대표","매장","1200×900","뷰티샵_네일_푸들.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","매장 대표","매장","1200×900","뷰티샵_상담_알파카.webp"
"HO0103","홈 - 비로그인 > 비로그인 예약 유도","매장 대표","매장","1200×900","뷰티샵_커트받기_보더콜리.webp"
"HO0201","홈 - 고객 로그인","매장 대표","매장","1200×900","뷰티샵_커트_알파카.webp"
"HO0201","홈 - 고객 로그인","매장 대표","매장","1200×900","뷰티샵_커트_알파카.webp"
"HO0201","홈 - 고객 로그인","매장 대표","매장","1200×900","뷰티샵_네일_토끼.webp"
"HO0201","홈 - 고객 로그인","시술 결과","결과","1000×1000","뷰티샵_커트_알파카.webp"
"HO0201","홈 - 고객 로그인","시술 결과","결과","1000×1000","뷰티샵_네일_토끼.webp"
"HO0201","홈 - 고객 로그인","매장 대표","매장","1200×900","뷰티샵_염색_라쿤.webp"
"HO0201","홈 - 고객 로그인","매장 대표","매장","1200×900","뷰티샵_네일_푸들.webp"
"HO0201","홈 - 고객 로그인","매장 대표","매장","1200×900","뷰티샵_드라이_코기.webp"
"HO0201","홈 - 고객 로그인","매장 대표","매장","1200×900","뷰티샵_메이크업_고양이.webp"
"HO0201","홈 - 고객 로그인","매장 대표","매장","1200×900","뷰티샵_스파_토끼.webp"
"HO0201","홈 - 고객 로그인","매장 대표","매장","1200×900","뷰티샵_기기_쥐.webp"
"HO0201","홈 - 고객 로그인","매장 대표","매장","1200×900","뷰티샵_염색_라쿤.webp"
"HO0201","홈 - 고객 로그인","매장 대표","매장","1200×900","뷰티샵_샴푸_사모예드.webp"
"HO0202","홈 - 고객 로그인 > 다가오는 예약 없음","매장 대표","매장","1200×900","뷰티샵_커트_알파카.webp"
"HO0202","홈 - 고객 로그인 > 다가오는 예약 없음","매장 대표","매장","1200×900","뷰티샵_네일_토끼.webp"
"HO0202","홈 - 고객 로그인 > 다가오는 예약 없음","매장 대표","매장","1200×900","뷰티샵_메이크업_고양이.webp"
"HO0202","홈 - 고객 로그인 > 다가오는 예약 없음","매장 대표","매장","1200×900","뷰티샵_스파_토끼.webp"
"HO0202","홈 - 고객 로그인 > 다가오는 예약 없음","매장 대표","매장","1200×900","뷰티샵_기기_쥐.webp"
"HO0202","홈 - 고객 로그인 > 다가오는 예약 없음","매장 대표","매장","1200×900","뷰티샵_염색_라쿤.webp"
"HO0202","홈 - 고객 로그인 > 다가오는 예약 없음","매장 대표","매장","1200×900","뷰티샵_염색_라쿤.webp"
"HO0202","홈 - 고객 로그인 > 다가오는 예약 없음","매장 대표","매장","1200×900","뷰티샵_샴푸_사모예드.webp"
"HO0202","홈 - 고객 로그인 > 다가오는 예약 없음","매장 대표","매장","1200×900","뷰티샵_드라이_푸들.webp"
"HO0202","홈 - 고객 로그인 > 다가오는 예약 없음","매장 대표","매장","1200×900","뷰티샵_네일_푸들.webp"
"HO0203","홈 - 고객 로그인 > 방문 당일 리마인더","매장 대표","매장","1200×900","뷰티샵_커트_알파카.webp"
"HO0203","홈 - 고객 로그인 > 방문 당일 리마인더","매장 대표","매장","1200×900","뷰티샵_커트_알파카.webp"
"HO0203","홈 - 고객 로그인 > 방문 당일 리마인더","매장 대표","매장","1200×900","뷰티샵_네일_토끼.webp"
"HO0203","홈 - 고객 로그인 > 방문 당일 리마인더","매장 대표","매장","1200×900","뷰티샵_드라이_코기.webp"
"HO0203","홈 - 고객 로그인 > 방문 당일 리마인더","매장 대표","매장","1200×900","뷰티샵_메이크업_고양이.webp"
