파일,어디서받았나,주소
01_bed_laptop.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
01_login.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
02_deep_focus.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
02_hotel_balcony.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
03_beach.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
03_video_meeting.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
04_bug_found.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
04_camping.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
05_solution_mapping.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
05_spa.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
06_rooftop.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
06_working_lunch.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
07_afternoon_sleep.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
07_bookstore.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
08_notification_overload.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
08_rainy_cabin.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
09_blanket_overtime.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
09_train.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
10_picnic.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
10_task_complete.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
대표_장면_게임.png,,
대표_장면_낮잠.png,,
대표_장면_사무실.png,,
대표_장면_소파간식.png,,
대표_장면_소파노트북.png,,
대표_장면_소파작업.png,,
대표_장면_수건.png,,
대표_장면_스트레칭.png,,
대표_장면_스파.png,,
대표_장면_완료엄지.png,,
대표_장면_잡지.png,,
대표_장면_차트.png,,
대표_장면_창가커피.png,,
대표_장면_책상정면.png,,
대표_장면_출근.png,,
대표_장면_카페.png,,
대표_장면_커피내리기.png,,
대표_장면_코딩.png,,
대표_장면_팝콘.png,,
대표_장면_헤드셋.png,,
대표_장면_화이트보드.png,,
매칭_가전수리_수달.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
매칭_강의_부엉이.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
매칭_강의_부엉이_스튜디오.png,,
매칭_과외_코끼리.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
매칭_꽃집_사슴.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
매칭_꽃집_사슴_가게.png,,
매칭_네일_토끼.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
매칭_미용_고양이.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
매칭_미용_알파카.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
매칭_여행가이드_미어캣.png,우리가 만든 것 (AI 생성) — 카페인컬러 고양이 캐릭터,
