"화면ID","화면명","어떤 자리","종류","권장 크기","지금 들어간 사진"
"AU-04","회원가입 완료","강의 썸네일","시술","1200×900","06_working_lunch.webp"
"AU-04","회원가입 완료","강의 썸네일","시술","1200×900","09_blanket_overtime.webp"
"AU-04","회원가입 완료","강의 썸네일","시술","1200×900","02_deep_focus.webp"
"AU-04","회원가입 완료","강의 썸네일","시술","1200×900","10_task_complete.webp"
"AU-04","회원가입 완료","강의 썸네일","시술","1200×900","01_login.webp"
"AU-04","회원가입 완료","강의 썸네일","시술","1200×900","03_video_meeting.webp"
"AU-04","회원가입 완료","강의 썸네일","시술","1200×900","04_bug_found.webp"
"AU-04","회원가입 완료","강의 썸네일","시술","1200×900","06_rooftop.webp"
"AU-04","회원가입 완료","강의 썸네일","시술","1200×900","07_bookstore.webp"
"AU-04","회원가입 완료","강의 썸네일","시술","1200×900","05_solution_mapping.webp"
"AU-04","회원가입 완료","강의 썸네일","시술","1200×900","08_notification_overload.webp"
"AU-04","회원가입 완료","강의 썸네일","시술","1200×900","01_bed_laptop.webp"
"CL-01","내 강의실 - 수강 중","강의 썸네일","시술","1200×900","06_working_lunch.webp"
"CL-01","내 강의실 - 수강 중","강의 썸네일","시술","1200×900","03_video_meeting.webp"
"CL-01","내 강의실 - 수강 중","강의 썸네일","시술","1200×900","01_login.webp"
"CL-01","내 강의실 - 수강 중","강의 썸네일","시술","1200×900","02_deep_focus.webp"
"CL-01","내 강의실 - 수강 중","강의 썸네일","시술","1200×900","06_rooftop.webp"
"CL-02","내 강의실 - 비어 있음","강의 썸네일","시술","1200×900","01_login.webp"
"CL-02","내 강의실 - 비어 있음","강의 썸네일","시술","1200×900","07_bookstore.webp"
"CL-02","내 강의실 - 비어 있음","강의 썸네일","시술","1200×900","06_rooftop.webp"
"CL-02","내 강의실 - 비어 있음","강의 썸네일","시술","800×800","06_working_lunch.webp"
"CL-02","내 강의실 - 비어 있음","강의 썸네일","시술","800×800","09_blanket_overtime.webp"
"CL-02","내 강의실 - 비어 있음","강의 썸네일","시술","800×800","02_deep_focus.webp"
