# 한 줄에 한 칸. | 는 손으로 넣는 줄바꿈이다. *낱말* 은 주황 강조다.
# ⚠ 줄 차례 = 화면 차례. 한 칸이 덮는 2.5초 «전체»를 아우르게 썼다 —
#   한 장에 못 박으면 칸 끝에서 딴 화면 위에 얹힌다 (2026-09-11 에 한 번 그랬다).
# ⚠ 이 파일과 `_작업/대본_*.json` 의 cap 은 «같은 글»이어야 한다.
#   둘 다 scratchpad/마무리.mjs 한 곳에서 나온다.
화면이 *207개*예요|줄마다 ID가 붙어 있고요
홈은 평수만 고르면|금액이 바로 나오고요
돈 내는 차례도|10·30·40%로 적혀요
자재는 색까지 골라요|추가금도 같이 붙고요
견적은 중간에 저장하고|이어서 할 수 있어요
살고 계신지까지 묻고|사례는 24개로 좁혀요
사례 안엔 쓴 자재와|공정별 비중, 후기까지
실측 예약은 달력에서|남은 자리만 눌려요
저장한 견적을 물리면|예약이 D-15로 잡혀요
조건을 세 개 걸었더니|맞는 사례가 *0개*예요
빈 화면까지 있어요|공정표는 진행률 *64%*
이번 주에 있을 일이|날짜별로 적혀 있고요
추가공사는 줄마다|승인과 거절을 눌러요
하자보수는 접수부터|처리 상황까지 있어요
손님 화면만이 아니에요|현장 대시보드도 있어요
견적 요청은 *34건*|현장 공정도 여기서 짜요
기성 청구는 미수금|*6,216만원*부터 보여요
연체만 걸러도|2건 262만원
월별 매출도 한 화면에|자재 마진은 *1,722만원*
일정 캘린더엔|팀별 가동률까지
직원을 부르고 권한도|로그인·가입 화면까지
AI팩이 궁금하시다면,|캡션과 프로필 링크를|확인해 주세요.
