날짜,업종,묶음,항목번호,무엇이틀렸나,어떻게고쳤나,상태,근거파일
2026-08-18,LMS,④ 완성화면(2뎁스),A2,"「.grass」(학습 잔디 그래프) 격자 간격이 gap:3px 로 숫자 직접 적힘 — check-design.mts FAIL","가장 가까운 토큰 var(--s1)(4px)로 교체",고침,LMS_디럭스/완성화면/assets/css/base.css:481
2026-08-18,LMS,⑤ 완성화면(3뎁스),A2,"「.grass」 격자 간격 gap:3px 숫자 직접 적힘 — check-design.mts FAIL(디럭스와 동일 원인)","var(--s1)(4px)로 교체",고침,LMS_프리미엄/완성화면/assets/css/base.css:599
2026-08-18,공동구매,④ 완성화면(2뎁스),A2,"「.tier」(공구 단계별 가격표) 격자 간격이 gap:10px 14px 로 숫자 직접 적힘 — check-design.mts FAIL","var(--s3) var(--s4)(12px 16px, 가장 가까운 토큰 쌍)로 교체",고침,공동구매_디럭스/완성화면/assets/css/base.css:830
2026-08-18,공동구매,④ 완성화면(2뎁스),A2,"「.hero-bold .figs」(홈 히어로 통계 4칸) 격자 간격이 gap:1px 로 숫자 직접 적힘 — 배경이 비치는 구분선 효과라 토큰 스케일(최소 4px)로 바꾸면 선이 4배 굵어짐","장비렌탈·인테리어 팩에 이미 있는 --hair:1px 관례를 공동구매에도 추가하고 gap:var(--hair)로 교체",고침,공동구매_디럭스/완성화면/assets/css/base.css:864
2026-08-18,공동구매,⑤ 완성화면(3뎁스),A2,"「.tier」 격자 간격 gap:10px 14px 숫자 직접 적힘 — check-design.mts FAIL(디럭스와 동일 원인)","var(--s3) var(--s4)로 교체",고침,공동구매_프리미엄/완성화면/assets/css/base.css:855
2026-08-18,LMS,④ 완성화면(2뎁스),G1·G2,"GR-01(출석 현황)·MY-02(수강 이력)·MY-03(정산 내역)의 「기간」 select 에 data-toast만 걸려 있고, 실제로 값을 바꿔도 표·합계가 재계산되지 않는다. 스펙팩 acts 는 각각 '출석 표와 출석률 숫자가 함께 바뀐다' / '이력 목록과 합계가 함께 걸러진다' / '표와 위의 합계 금액이 그 기간 것으로 다시 계산된다'고 약속했는데 안 지켜진다. check-반응.mts는 data-toast 요소를 자동으로 '반응함'으로 쳐서 이 틈을 못 잡는 사각지대다","못고침 — 기간별 대체 데이터가 build 단계에 없어 assets/js/app.js 패치만으로는 표를 다시 못 그린다. build/*.mjs 데이터 모델 확장이 필요해 별도 작업으로 남긴다",못고침,"LMS_디럭스/완성화면/pages/GR-01.html:37, MY-02.html:60, MY-03.html:62"
2026-08-18,LMS,⑤ 완성화면(3뎁스),G1·G2,"GR0101·MY0201·MY0301의 「기간」 select — 디럭스와 동일한 acts 약속 위반(위 항목과 같은 원인, 프리미엄판)","못고침 — 위와 동일한 까닭",못고침,"LMS_프리미엄/완성화면/pages/GR0101.html, MY0201.html, MY0301.html"
2026-08-18,(도구),—,A1,"check-presets.mts 가 '고를 수 있다고 내놓은 색을 정말 만들 수 있나'를 확인할 때 build-design-presets.mts 에서 PRESETS 배열을 찾는데, 2026-08-14에 그 배열이 lib/preset-pack.ts 로 옮겨져 헛경보(테마 6종 전부 '못 만든다'로 오탐)가 난다. lib/preset-pack.ts 에 6종 모두 실재함을 key 라인으로 직접 확인함","못고침 — 검사기 코드 자체 문제라 판매용_템플릿 밖(내 몫 범위 밖)",사람확인필요,check-presets.mts:272
2026-08-18,(도구),—,—,"검수-판매팩.mts(별도 종합 검사기)가 검수항목.md 에 실려 있지 않다. 돌려 보니 내 4업종엔 '막음'(팔 수 없음) 0건이지만 '고칠 것' 다수(격자 간격 변수 이름 불일치 --sec-gap 등, 정가/판매가 순서, 죽은 탭 비율 등)가 잡힌다. 검수항목.md 자체가 '두 벌로 적으면 반드시 갈라진다'고 경고하는 상황이라 임의로 손대지 않음","고치지 않음 — 검수항목.md에 편입할지 사장님 판단 필요",사람확인필요,검수-판매팩.mts
2026-08-18,LMS,④⑤,A4,"check-pack.mts WARN — 로그인·회원가입류 화면 글자 수가 250~400자 정도로 짧다는 알림","확인 결과 로그인 화면 특성상 원래 그런 것으로 판단, 결함 아님",이상없음,LMS_디럭스+프리미엄/완성화면/pages/AU*.html
2026-08-18,공동구매,④⑤,A4,"check-pack.mts WARN — 로그인 화면 글자 수 짧음","확인 결과 결함 아님",이상없음,공동구매_디럭스+프리미엄/완성화면/pages/AC-01.html
2026-08-18,LMS·뷰티샵·여행·공동구매,①~⑥ 전체,B1~B9·C1~C3·D1~D4·F1~F5·F7,"check-zip·check-zip날짜·check-겉표지·check-사진채움·check-평평함·check-사진·check-레이아웃·check-design·check-pack 전부 재실행 — 내 몫 8칸(디럭스·프리미엄) 전부 FAIL 0","해당 없음(정상)",이상없음,"판매용_템플릿/_판매팩/{LMS,뷰티샵,여행,공동구매}_{디럭스,프리미엄}"
2026-08-18,LMS·뷰티샵·여행·공동구매,④⑤,G1,"check-반응.mts — 내 몫 8칸 중 7칸(LMS 디럭스·프리미엄, 뷰티샵 디럭스·프리미엄, 여행 디럭스, 공동구매 디럭스·프리미엄)은 '눌러서 죽은 것' FAIL 0 확인. select만 값이 바뀌고 옆이 그대로인 WARN이 여러 개 나왔는데(LMS 3·11, 뷰티샵 10·33, 여행_디럭스 다수, 공동구매 18·66) 스펙팩 acts와 대조한 결과 LMS 3건(위 별도 기재)을 빼고는 acts에 명시된 약속이 없어 결함으로 보지 않음","LMS 3건 제외 전부 이상없음으로 판단",이상없음,"check-반응.mts 실행 로그"
2026-08-18,여행,⑤ 완성화면(3뎁스),G1,"여행_프리미엄만 check-반응.mts 의 '눌러서 죽은 것' 자동 검사를 세션 시간 안에 못 끝냈다(백그라운드로 돌렸는데 다른 동시 실행과 자원을 다투며 30분 넘게 응답이 없었다). 여행_디럭스(같은 코드베이스, 44장)는 FAIL 0 로 확인했고, 프리미엄의 select 도 acts 약속이 걸린 게 없음을 수동으로 확인했지만, 프리미엄 전용 화면(BK03·PR0*  등)의 '눌러서 죽은 UI' 자체는 기계로 못 쟀다","못 쟀다 — 다음 회차(B 또는 마무리 루틴)에서 npx tsx check-반응.mts 여행_프리미엄 단독 실행 필요",사람확인필요,check-반응.mts(여행_프리미엄 미완주)
