"화면ID","화면명","어떤 자리","종류","권장 크기","지금 들어간 사진"
"AT-01","오늘 등원 현황판","두부 사진","시술","400×400","펫유치원 (1).webp"
"AT-01","오늘 등원 현황판","하루 사진","시술","400×400","펫유치원 (10).webp"
"AT-01","오늘 등원 현황판","보리 사진","시술","400×400","펫유치원 (11).webp"
"AT-01","오늘 등원 현황판","콩이 사진","시술","400×400","펫유치원 (12).webp"
"AT-01","오늘 등원 현황판","별이 사진","시술","400×400","펫유치원 (13).webp"
"AT-01","오늘 등원 현황판","만두 사진","시술","400×400","펫유치원 (14).webp"
"AT-01","오늘 등원 현황판","나비 사진","시술","400×400","펫유치원 (15).webp"
"AT-01","오늘 등원 현황판","뭉이 사진","시술","400×400","펫유치원 (16).webp"
"AT-01","오늘 등원 현황판","두부 사진","시술","400×400","펫유치원 (17).webp"
"AT-01","오늘 등원 현황판","뭉치 사진","시술","400×400","펫유치원 (18).webp"
"AT-01","오늘 등원 현황판","방울 사진","시술","400×400","펫유치원 (19).webp"
"AT-01","오늘 등원 현황판","초코 사진","시술","400×400","펫유치원 (2).webp"
"AT-01","오늘 등원 현황판","해피 사진","시술","400×400","펫유치원 (3).webp"
"AT-01","오늘 등원 현황판","루비 사진","시술","400×400","펫유치원 (4).webp"
"AT-01","오늘 등원 현황판","까미 사진","시술","400×400","펫유치원 (5).webp"
"AT-01","오늘 등원 현황판","단추 사진","시술","400×400","펫유치원 (6).webp"
"AT-01","오늘 등원 현황판","두유 사진","시술","400×400","펫유치원 (7).webp"
"AT-01","오늘 등원 현황판","모카 사진","시술","400×400","펫유치원 (8).webp"
"AT-01","오늘 등원 현황판","루키 사진","시술","400×400","펫유치원 (9).webp"
"AT-01","오늘 등원 현황판","하루 사진","시술","400×400","펫유치원.webp"
"AT-01","오늘 등원 현황판","몽이 사진","시술","400×400","인물 - 1.webp"
"AT-01","오늘 등원 현황판","코코 사진","시술","400×400","인물 - 12.webp"
"AT-01","오늘 등원 현황판","구름 사진","시술","400×400","인물 - 13.webp"
"AT-01","오늘 등원 현황판","바다 사진","시술","400×400","인물 - 14.webp"
"AT-01","오늘 등원 현황판","태양 사진","시술","400×400","인물 - 15.webp"
"AT-01","오늘 등원 현황판","산이 사진","시술","400×400","인물 - 16.webp"
"AT-02","등원 체크","초코 사진","시술","400×400","펫유치원 (1).webp"
"AT-02","등원 체크","루키 사진","시술","400×400","펫유치원 (10).webp"
"AT-02","등원 체크","두부 사진","시술","400×400","펫유치원 (11).webp"
"AT-02","등원 체크","하루 사진","시술","400×400","펫유치원 (12).webp"
"AT-02","등원 체크","몽이 사진","시술","400×400","펫유치원 (13).webp"
"AT-02","등원 체크","보리 사진","시술","400×400","펫유치원 (14).webp"
"AT-02","등원 체크","콩이 사진","시술","400×400","펫유치원 (15).webp"
"AT-02","등원 체크","별이 사진","시술","400×400","펫유치원 (16).webp"
"AT-02","등원 체크","만두 사진","시술","400×400","펫유치원 (17).webp"
"AT-02","등원 체크","나비 사진","시술","400×400","펫유치원 (18).webp"
"AT-03","하원 체크","보리 사진","시술","400×400","펫유치원 (19).webp"
"AT-03","하원 체크","콩이 사진","시술","400×400","펫유치원 (2).webp"
"AT-03","하원 체크","별이 사진","시술","400×400","펫유치원 (3).webp"
"AT-03","하원 체크","만두 사진","시술","400×400","펫유치원 (4).webp"
"AT-03","하원 체크","나비 사진","시술","400×400","펫유치원 (5).webp"
"AT-03","하원 체크","해피 사진","시술","400×400","펫유치원 (6).webp"
"AT-03","하원 체크","루비 사진","시술","400×400","펫유치원 (7).webp"
"AT-03","하원 체크","까미 사진","시술","400×400","펫유치원 (8).webp"
"AT-03","하원 체크","단추 사진","시술","400×400","펫유치원 (9).webp"
"AT-03","하원 체크","구름 사진","시술","400×400","펫유치원.webp"
"AT-03","하원 체크","바다 사진","시술","400×400","펫유치원 (1).webp"
"AT-03","하원 체크","태양 사진","시술","400×400","펫유치원 (10).webp"
"AT-03","하원 체크","산이 사진","시술","400×400","펫유치원 (11).webp"
"AT-03","하원 체크","두유 사진","시술","400×400","펫유치원 (12).webp"
"AT-03","하원 체크","모카 사진","시술","400×400","펫유치원 (13).webp"
"AT-03","하원 체크","뭉이 사진","시술","400×400","펫유치원 (14).webp"
"AT-04","반 편성 보드","보리 사진","시술","400×400","펫유치원 (15).webp"
"AT-04","반 편성 보드","콩이 사진","시술","400×400","펫유치원 (16).webp"
"AT-04","반 편성 보드","별이 사진","시술","400×400","펫유치원 (17).webp"
"AT-04","반 편성 보드","만두 사진","시술","400×400","펫유치원 (18).webp"
"AT-04","반 편성 보드","나비 사진","시술","400×400","펫유치원 (19).webp"
"AT-04","반 편성 보드","해피 사진","시술","400×400","펫유치원 (2).webp"
"AT-04","반 편성 보드","루비 사진","시술","400×400","펫유치원 (3).webp"
"AT-04","반 편성 보드","까미 사진","시술","400×400","펫유치원 (4).webp"
"AT-04","반 편성 보드","단추 사진","시술","400×400","펫유치원 (5).webp"
"AT-04","반 편성 보드","두유 사진","시술","400×400","펫유치원 (6).webp"
"AT-04","반 편성 보드","구름 사진","시술","400×400","펫유치원 (7).webp"
"AT-04","반 편성 보드","바다 사진","시술","400×400","펫유치원 (8).webp"
"AT-04","반 편성 보드","태양 사진","시술","400×400","펫유치원 (9).webp"
"AT-04","반 편성 보드","산이 사진","시술","400×400","펫유치원.webp"
"CS-02","1:1 문의","초코 사진","시술","400×400","펫유치원 (1).webp"
"CS-03","공지사항 상세","공지 안내 이미지","시술","1200×675","펫유치원 (10).webp"
"HL-01","백신 만료 대시보드","루키 사진","시술","400×400","펫유치원 (11).webp"
"HL-01","백신 만료 대시보드","단추 사진","시술","400×400","펫유치원 (12).webp"
"HL-01","백신 만료 대시보드","보리 사진","시술","400×400","펫유치원 (13).webp"
"HL-01","백신 만료 대시보드","만두 사진","시술","400×400","펫유치원 (14).webp"
"HL-01","백신 만료 대시보드","코코 사진","시술","400×400","펫유치원 (15).webp"
"HL-01","백신 만료 대시보드","하루 사진","시술","400×400","펫유치원 (16).webp"
"HL-01","백신 만료 대시보드","루비 사진","시술","400×400","펫유치원 (17).webp"
"HL-01","백신 만료 대시보드","태양 사진","시술","400×400","펫유치원 (18).webp"
"HL-01","백신 만료 대시보드","모카 사진","시술","400×400","펫유치원 (19).webp"
"HL-01","백신 만료 대시보드","나비 사진","시술","400×400","펫유치원 (2).webp"
"HL-01","백신 만료 대시보드","뭉치 사진","시술","400×400","펫유치원 (3).webp"
"HL-01","백신 만료 대시보드","두부 사진","시술","400×400","펫유치원 (4).webp"
"HL-01","백신 만료 대시보드","바다 사진","시술","400×400","펫유치원 (5).webp"
"HL-01","백신 만료 대시보드","방울 사진","시술","400×400","펫유치원 (6).webp"
"HL-01","백신 만료 대시보드","콩이 사진","시술","400×400","펫유치원 (7).webp"
"HL-01","백신 만료 대시보드","두유 사진","시술","400×400","펫유치원 (8).webp"
"HL-01","백신 만료 대시보드","초코 사진","시술","400×400","펫유치원 (9).webp"
"HL-01","백신 만료 대시보드","까미 사진","시술","400×400","펫유치원.webp"
"HL-01","백신 만료 대시보드","몽이 사진","시술","400×400","펫유치원 (1).webp"
"HL-01","백신 만료 대시보드","뭉이 사진","시술","400×400","펫유치원 (10).webp"
"HL-01","백신 만료 대시보드","구름 사진","시술","400×400","인물 - 1.webp"
"HL-01","백신 만료 대시보드","별이 사진","시술","400×400","인물 - 12.webp"
