날짜,루틴,팩,항목,무엇,근거파일,고침여부
2026-09-01,pack-qa-new,반려동물케어_디럭스,①②③ 등원 체크 — 적어 둔 개수와 보이는 개수,"AT-02 「아직 안 온 아이」가 4마리라고 적혀 있는데 「오늘 예약 명단」에는 5마리(초코·루키·두부·하루·몽이)가 서 있었다. 옆 칸과도 안 맞았다 — 등원 완료 16 + 결석 3 + 4 = 23 인데 그 옆에는 「오늘 예약 24마리 중」이라 적혀 있다. 까닭은 세는 글이 백신 확인 대기(locked)인 루키를 빼고 셌기 때문이다. 「아직 안 온 아이」는 «온 아이»의 반대지 «지금 누를 수 있는 아이»가 아니다. 붙박이 숫자 4→5 로 고치고, 세는 글도 잠긴 줄을 함께 세게 했다. 잠긴 줄은 말에서만 따로 알려 준다 — 「아직 5마리를 기다리고 있어요 · 그중 1마리는 백신 확인이 필요해요」. 다시 그려서 5=5 · 5+16+3=24 를 확인했다","판매용_템플릿/_판매팩/반려동물케어_디럭스/완성화면/pages/AT-02.html:29 · 완성화면/assets/js/app.js:377-399 · 완성화면/build/pages-at.mjs:122",고침
2026-09-01,pack-qa-new,반려동물케어_프리미엄,①②③ 등원 체크 — 적어 둔 개수와 보이는 개수,"AT0201 이 디럭스 AT-02 와 같은 자리였다(명단 5줄 · 숫자 4). 같은 수로 고쳤다. ⚠ 형제 화면 AT0202·AT0203·AT0205 는 루키가 아예 명단에 없어 4줄에 4가 맞다 — 건드리지 않았다. 넷 다 다시 그려서 명단 줄 수와 숫자가 같은 것을 확인했다","판매용_템플릿/_판매팩/반려동물케어_프리미엄/완성화면/pages/AT0201.html:27 · 완성화면/assets/js/app.js:377-399 · 완성화면/build/pages-at.mjs:122",고침
2026-09-01,pack-qa-new,반려동물케어_디럭스,①② 운영자 로그인 — 아무것도 안 쳤는데 뜨는 오류,"MG-05 를 열자마자 빈 칸 밑에 「이메일 또는 비밀번호가 올바르지 않습니다」가 붉게 떠 있었다. 손님이 관리자 문을 열면 처음 보는 것이 오류 문구다. 팩 스스로가 근거를 준다 — 프리미엄에는 로그인 오류만 그리는 화면(MG0502)이 따로 있고 거기서는 칸에 is-err 까지 붙는다. 오류는 그 화면 몫이므로 기본 로그인 화면에서 그 한 줄을 뗐다. 뗀 뒤 다시 그려 자리(간격)가 무너지지 않은 것을 눈으로 확인했다","판매용_템플릿/_판매팩/반려동물케어_디럭스/완성화면/pages/MG-05.html:21 · 완성화면/build/pages-mg.mjs:302",고침
2026-09-01,pack-qa-new,반려동물케어_프리미엄,①② 운영자 로그인 — 아무것도 안 쳤는데 뜨는 오류,"MG0501 이 디럭스 MG-05 와 같은 자리였다. 같은 줄을 뗐다. 오류 화면 MG0502 는 그대로 두었다 — 거기는 배너·탭(비밀번호 오류·계정 잠김)까지 갖춘 제대로 된 오류 화면이다","판매용_템플릿/_판매팩/반려동물케어_프리미엄/완성화면/pages/MG0501.html:19 · 완성화면/build/pages-mg.mjs:302",고침
2026-09-01,pack-qa-new,반려동물케어_프리미엄,③ 화면끼리 값 — 파는 등급과 고칠 수 있는 등급이 갈렸다,"손님이 보는 요금표(HO0103)와 요일 고르기(RE0203)는 정기 요일권을 주 1·2·3·4·5회 다섯 줄로 내건다(120,000 / 220,000 / 300,000 / 380,000 / 460,000). 그런데 원장이 값을 고치는 요금표(MG0101)에는 주 2·3·5회 세 줄뿐이라 주 1회·주 4회는 고칠 자리가 없었다. 그 화면은 스스로 「여기서 고친 숫자는 요금 안내·예약·결제·현황판에 그대로 나갑니다」라고 적어 두었다. 파는 것과 고칠 수 있는 것이 갈리면 값이 반드시 어긋난다. 뿌리(PRICE.reg)에 이미 다섯이 다 있으므로 손으로 적은 [2,3,5] 를 지우고 뿌리를 그대로 펴게 했다. ⚠ 디럭스는 어디에도 주 1·4회를 팔지 않아 세 줄이 맞다 — 건드리지 않았다","판매용_템플릿/_판매팩/반려동물케어_프리미엄/완성화면/pages/MG0101.html:73 · 완성화면/build/pages-mg.mjs:57 · 완성화면/build/data.mjs:208",고침
2026-09-01,pack-qa-new,반려동물케어_프리미엄,④ 검사기 헛짚음 — check-평평함 이 글자 크기 이름을 카드로 셌다,"check-평평함 이 PL0103(견종 자동완성 검색)을 「t-card 카드가 12개 넘게 줄지어 있다」로 잡아 FAIL(exit 1) 을 냈다. 브라우저로 열어 보니 찾기 칸과 거르는 칩(전체·소형반 7·중형반 9·대형반 4 = 20)이 달린 검색 목록이라 20줄인 것이 맞았다. t-card 는 t-page·t-sec·t-sub 와 한 식구인 «글자 크기» 이름이다 — 열여섯 팩에서 4,395번 쓰는데 3,078번이 h3 에 붙는다. 검사기의 낱말 끝 견주기가 「t-card」의 뒷동강을 물어 카드로 센 것이라 팩이 아니라 검사기를 고쳤고 왜 틀렸는지 주석으로 남겼다. 고친 뒤 16벌 전부 통과(exit 0)","check-평평함.mts:60-69 · 판매용_템플릿/_판매팩/반려동물케어_프리미엄/완성화면/pages/PL0103.html",고침
2026-09-01,pack-qa-new,반려동물케어_스탠다드,④ 이번주_알림 — 팩이 git 에 없었다,"git ls-files 로 세니 0개였다(견줄 것 — LMS_디럭스 88개). .gitignore:45 가 판매용_템플릿/ 을 통째로 막고 있어 다른 팩들은 -f 로 강제로 담긴 것인데 새 팩은 그 손이 안 갔다. 이 컴퓨터가 죽으면 사라지는 자리다. 다른 팩과 같은 갈래로 21개를 git add -f 했다. 네 등급 합 361개(문서 42 · 디자인프리셋 44 · 완성화면 275). 다른 팩과 똑같이 assets/예시 사진 · 앱스토어재료 · 09·10 내놓는 법 · 사진바꾸기.csv 는 뺐다","판매용_템플릿/_판매팩/반려동물케어_스탠다드/ · .gitignore:45",고침
2026-09-01,pack-qa-new,반려동물케어_플러스,④ 이번주_알림 — 팩이 git 에 없었다,"git ls-files 로 세니 0개였다(견줄 것 — LMS_디럭스 88개). .gitignore:45 가 판매용_템플릿/ 을 통째로 막고 있어 다른 팩들은 -f 로 강제로 담긴 것인데 새 팩은 그 손이 안 갔다. 이 컴퓨터가 죽으면 사라지는 자리다. 다른 팩과 같은 갈래로 21개를 git add -f 했다. 네 등급 합 361개(문서 42 · 디자인프리셋 44 · 완성화면 275). 다른 팩과 똑같이 assets/예시 사진 · 앱스토어재료 · 09·10 내놓는 법 · 사진바꾸기.csv 는 뺐다","판매용_템플릿/_판매팩/반려동물케어_플러스/ · .gitignore:45",고침
2026-09-01,pack-qa-new,반려동물케어_디럭스,④ 이번주_알림 — 팩이 git 에 없었다,"git ls-files 로 세니 0개였다(견줄 것 — LMS_디럭스 88개). .gitignore:45 가 판매용_템플릿/ 을 통째로 막고 있어 다른 팩들은 -f 로 강제로 담긴 것인데 새 팩은 그 손이 안 갔다. 이 컴퓨터가 죽으면 사라지는 자리다. 다른 팩과 같은 갈래로 90개를 git add -f 했다. 네 등급 합 361개(문서 42 · 디자인프리셋 44 · 완성화면 275). 다른 팩과 똑같이 assets/예시 사진 · 앱스토어재료 · 09·10 내놓는 법 · 사진바꾸기.csv 는 뺐다","판매용_템플릿/_판매팩/반려동물케어_디럭스/ · .gitignore:45",고침
2026-09-01,pack-qa-new,반려동물케어_프리미엄,④ 이번주_알림 — 팩이 git 에 없었다,"git ls-files 로 세니 0개였다(견줄 것 — LMS_디럭스 88개). .gitignore:45 가 판매용_템플릿/ 을 통째로 막고 있어 다른 팩들은 -f 로 강제로 담긴 것인데 새 팩은 그 손이 안 갔다. 이 컴퓨터가 죽으면 사라지는 자리다. 다른 팩과 같은 갈래로 229개를 git add -f 했다. 네 등급 합 361개(문서 42 · 디자인프리셋 44 · 완성화면 275). 다른 팩과 똑같이 assets/예시 사진 · 앱스토어재료 · 09·10 내놓는 법 · 사진바꾸기.csv 는 뺐다","판매용_템플릿/_판매팩/반려동물케어_프리미엄/ · .gitignore:45",고침
