"화면ID","화면명","어떤 자리","종류","권장 크기","지금 들어간 사진"
"AT0101","오늘 등원 현황판","두부 사진","시술","400×400","펫유치원 (1).webp"
"AT0101","오늘 등원 현황판","하루 사진","시술","400×400","펫유치원 (10).webp"
"AT0101","오늘 등원 현황판","보리 사진","시술","400×400","펫유치원 (11).webp"
"AT0101","오늘 등원 현황판","콩이 사진","시술","400×400","펫유치원 (12).webp"
"AT0101","오늘 등원 현황판","별이 사진","시술","400×400","펫유치원 (13).webp"
"AT0101","오늘 등원 현황판","만두 사진","시술","400×400","펫유치원 (14).webp"
"AT0101","오늘 등원 현황판","나비 사진","시술","400×400","펫유치원 (15).webp"
"AT0101","오늘 등원 현황판","뭉이 사진","시술","400×400","펫유치원 (16).webp"
"AT0101","오늘 등원 현황판","두부 사진","시술","400×400","펫유치원 (17).webp"
"AT0101","오늘 등원 현황판","뭉치 사진","시술","400×400","펫유치원 (18).webp"
"AT0101","오늘 등원 현황판","방울 사진","시술","400×400","펫유치원 (19).webp"
"AT0101","오늘 등원 현황판","초코 사진","시술","400×400","펫유치원 (2).webp"
"AT0101","오늘 등원 현황판","해피 사진","시술","400×400","펫유치원 (3).webp"
"AT0101","오늘 등원 현황판","루비 사진","시술","400×400","펫유치원 (4).webp"
"AT0101","오늘 등원 현황판","까미 사진","시술","400×400","펫유치원 (5).webp"
"AT0101","오늘 등원 현황판","단추 사진","시술","400×400","펫유치원 (6).webp"
"AT0101","오늘 등원 현황판","두유 사진","시술","400×400","펫유치원 (7).webp"
"AT0101","오늘 등원 현황판","모카 사진","시술","400×400","펫유치원 (8).webp"
"AT0101","오늘 등원 현황판","루키 사진","시술","400×400","펫유치원 (9).webp"
"AT0101","오늘 등원 현황판","하루 사진","시술","400×400","펫유치원.webp"
"AT0101","오늘 등원 현황판","몽이 사진","시술","400×400","인물 - 1.webp"
"AT0101","오늘 등원 현황판","코코 사진","시술","400×400","인물 - 12.webp"
"AT0101","오늘 등원 현황판","구름 사진","시술","400×400","인물 - 13.webp"
"AT0101","오늘 등원 현황판","바다 사진","시술","400×400","인물 - 14.webp"
"AT0101","오늘 등원 현황판","태양 사진","시술","400×400","인물 - 15.webp"
"AT0101","오늘 등원 현황판","산이 사진","시술","400×400","인물 - 16.webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","보리 사진","시술","400×400","펫유치원 (1).webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","콩이 사진","시술","400×400","펫유치원 (10).webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","별이 사진","시술","400×400","펫유치원 (11).webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","만두 사진","시술","400×400","펫유치원 (12).webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","나비 사진","시술","400×400","펫유치원 (13).webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","뭉이 사진","시술","400×400","펫유치원 (14).webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","두부 사진","시술","400×400","펫유치원 (15).webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","뭉치 사진","시술","400×400","펫유치원 (16).webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","방울 사진","시술","400×400","펫유치원 (17).webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","초코 사진","시술","400×400","펫유치원 (18).webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","해피 사진","시술","400×400","펫유치원 (19).webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","루비 사진","시술","400×400","펫유치원 (2).webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","까미 사진","시술","400×400","펫유치원 (3).webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","단추 사진","시술","400×400","펫유치원 (4).webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","두유 사진","시술","400×400","펫유치원 (5).webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","모카 사진","시술","400×400","펫유치원 (6).webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","루키 사진","시술","400×400","펫유치원 (7).webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","하루 사진","시술","400×400","펫유치원 (8).webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","몽이 사진","시술","400×400","펫유치원 (9).webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","코코 사진","시술","400×400","펫유치원.webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","구름 사진","시술","400×400","인물 - 1.webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","바다 사진","시술","400×400","인물 - 12.webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","태양 사진","시술","400×400","인물 - 13.webp"
"AT0102","오늘 등원 현황판 > 반별 탭 전환","산이 사진","시술","400×400","인물 - 14.webp"
"AT0103","오늘 등원 현황판 > 미등원 강조","두부 사진","시술","400×400","펫유치원 (1).webp"
"AT0103","오늘 등원 현황판 > 미등원 강조","하루 사진","시술","400×400","펫유치원 (10).webp"
"AT0201","등원 체크","초코 사진","시술","400×400","펫유치원 (11).webp"
"AT0201","등원 체크","루키 사진","시술","400×400","펫유치원 (12).webp"
"AT0201","등원 체크","두부 사진","시술","400×400","펫유치원 (13).webp"
"AT0201","등원 체크","하루 사진","시술","400×400","펫유치원 (14).webp"
"AT0201","등원 체크","몽이 사진","시술","400×400","펫유치원 (15).webp"
"AT0201","등원 체크","보리 사진","시술","400×400","펫유치원 (16).webp"
"AT0201","등원 체크","콩이 사진","시술","400×400","펫유치원 (17).webp"
"AT0201","등원 체크","별이 사진","시술","400×400","펫유치원 (18).webp"
"AT0201","등원 체크","만두 사진","시술","400×400","펫유치원 (19).webp"
"AT0201","등원 체크","나비 사진","시술","400×400","펫유치원 (2).webp"
"AT0202","등원 체크 > 등원 체크·회차권 차감","초코 사진","시술","400×400","펫유치원 (3).webp"
"AT0202","등원 체크 > 등원 체크·회차권 차감","두부 사진","시술","400×400","펫유치원 (4).webp"
"AT0202","등원 체크 > 등원 체크·회차권 차감","하루 사진","시술","400×400","펫유치원 (5).webp"
"AT0202","등원 체크 > 등원 체크·회차권 차감","몽이 사진","시술","400×400","펫유치원 (6).webp"
"AT0202","등원 체크 > 등원 체크·회차권 차감","보리 사진","시술","400×400","펫유치원 (7).webp"
"AT0202","등원 체크 > 등원 체크·회차권 차감","콩이 사진","시술","400×400","펫유치원 (8).webp"
"AT0202","등원 체크 > 등원 체크·회차권 차감","별이 사진","시술","400×400","펫유치원 (9).webp"
"AT0202","등원 체크 > 등원 체크·회차권 차감","만두 사진","시술","400×400","펫유치원.webp"
"AT0203","등원 체크 > 되돌리기","초코 사진","시술","400×400","펫유치원 (1).webp"
"AT0203","등원 체크 > 되돌리기","두부 사진","시술","400×400","펫유치원 (10).webp"
"AT0203","등원 체크 > 되돌리기","하루 사진","시술","400×400","펫유치원 (11).webp"
"AT0203","등원 체크 > 되돌리기","몽이 사진","시술","400×400","펫유치원 (12).webp"
"AT0203","등원 체크 > 되돌리기","보리 사진","시술","400×400","펫유치원 (13).webp"
"AT0204","등원 체크 > 백신 만료 잠금","루키 사진","시술","400×400","펫유치원 (14).webp"
"AT0205","등원 체크 > 지각 표시","초코 사진","시술","400×400","펫유치원 (15).webp"
"AT0205","등원 체크 > 지각 표시","두부 사진","시술","400×400","펫유치원 (16).webp"
"AT0205","등원 체크 > 지각 표시","하루 사진","시술","400×400","펫유치원 (17).webp"
"AT0205","등원 체크 > 지각 표시","몽이 사진","시술","400×400","펫유치원 (18).webp"
"AT0301","하원 체크","보리 사진","시술","400×400","펫유치원 (19).webp"
"AT0301","하원 체크","콩이 사진","시술","400×400","펫유치원 (2).webp"
"AT0301","하원 체크","별이 사진","시술","400×400","펫유치원 (3).webp"
"AT0301","하원 체크","만두 사진","시술","400×400","펫유치원 (4).webp"
"AT0301","하원 체크","나비 사진","시술","400×400","펫유치원 (5).webp"
"AT0301","하원 체크","해피 사진","시술","400×400","펫유치원 (6).webp"
"AT0301","하원 체크","루비 사진","시술","400×400","펫유치원 (7).webp"
"AT0301","하원 체크","까미 사진","시술","400×400","펫유치원 (8).webp"
"AT0301","하원 체크","단추 사진","시술","400×400","펫유치원 (9).webp"
"AT0301","하원 체크","구름 사진","시술","400×400","펫유치원.webp"
"AT0301","하원 체크","바다 사진","시술","400×400","펫유치원 (1).webp"
"AT0301","하원 체크","태양 사진","시술","400×400","펫유치원 (10).webp"
"AT0301","하원 체크","산이 사진","시술","400×400","펫유치원 (11).webp"
"AT0301","하원 체크","두유 사진","시술","400×400","펫유치원 (12).webp"
"AT0301","하원 체크","모카 사진","시술","400×400","펫유치원 (13).webp"
"AT0301","하원 체크","뭉이 사진","시술","400×400","펫유치원 (14).webp"
"AT0302","하원 체크 > 인계 보호자 확인","보리 사진","시술","400×400","펫유치원 (15).webp"
"AT0302","하원 체크 > 인계 보호자 확인","콩이 사진","시술","400×400","펫유치원 (16).webp"
"AT0302","하원 체크 > 인계 보호자 확인","별이 사진","시술","400×400","펫유치원 (17).webp"
"AT0302","하원 체크 > 인계 보호자 확인","만두 사진","시술","400×400","펫유치원 (18).webp"
"AT0302","하원 체크 > 인계 보호자 확인","나비 사진","시술","400×400","펫유치원 (19).webp"
"AT0302","하원 체크 > 인계 보호자 확인","해피 사진","시술","400×400","펫유치원 (2).webp"
"AT0302","하원 체크 > 인계 보호자 확인","루비 사진","시술","400×400","펫유치원 (3).webp"
"AT0302","하원 체크 > 인계 보호자 확인","까미 사진","시술","400×400","펫유치원 (4).webp"
"AT0302","하원 체크 > 인계 보호자 확인","단추 사진","시술","400×400","펫유치원 (5).webp"
