"화면ID","화면명","어떤 자리","종류","권장 크기","지금 들어간 사진"
"BK-01","대여 신청서","장비","시술","400×400","장비- 1.webp"
"BK-03","대여 확정 완료","장비","시술","400×400","장비- 10.webp"
"BK-03","대여 확정 완료","수령 QR 코드","시술","400×400","장비- 11.webp"
"BK-03","대여 확정 완료","수령 QR 코드","시술","600×600","장비- 12.webp"
"BK-05","대여 계약 동의·서명","서명하는 칸","시술","1200×300","장비- 13.webp"
"CS-02","1:1 문의","수령 사진","시술","800×600","장비- 14.webp"
"CS-02","1:1 문의","반납 사진","시술","800×600","장비- 15.webp"
"CS-02","1:1 문의","추가 1","시술","800×600","장비- 16.webp"
"CS-02","1:1 문의","추가 2","시술","800×600","장비- 17.webp"
"CS-03","대여 약관·규정","털어서 넣은 상태","시술","800×500","장비- 18.webp"
"CS-03","대여 약관·규정","젖은 채 접힌 상태","시술","800×500","장비- 19.webp"
"CT-01","대여 장바구니","장비","시술","400×400","장비- 2.webp"
"CT-01","대여 장바구니","장비","시술","400×400","장비- 20.webp"
"CT-01","대여 장바구니","장비","시술","400×400","장비- 21.webp"
"CT-03","빈 장바구니","장비 사진","시술","800×800","장비- 22.webp"
"CT-03","빈 장바구니","장비 사진","시술","800×800","장비- 23.webp"
"CT-03","빈 장바구니","장비 사진","시술","800×800","장비- 24.webp"
"CT-03","빈 장바구니","장비 사진","시술","800×800","장비- 25.webp"
"CT-03","빈 장바구니","장비 사진","시술","800×800","장비- 4.webp"
"CT-03","빈 장바구니","장비 사진","시술","800×800","장비- 5.webp"
"CT-03","빈 장바구니","장비 사진","시술","800×800","장비- 6.webp"
"CT-03","빈 장바구니","장비 사진","시술","800×800","장비- 7.webp"
"HO-01","홈","장비 사진","시술","800×800","장비- 8.webp"
"HO-01","홈","장비 사진","시술","800×800","장비- 9.webp"
"HO-01","홈","장비 사진","시술","800×800","장비- 1.webp"
"HO-01","홈","장비 사진","시술","800×800","장비- 10.webp"
"HO-01","홈","장비 사진","시술","800×800","장비- 11.webp"
"HO-01","홈","장비 사진","시술","800×800","장비- 12.webp"
"HO-01","홈","장비 사진","시술","800×800","장비- 13.webp"
"HO-01","홈","장비 사진","시술","800×800","장비- 14.webp"
"HO-01","홈","패키지 사진","시술","800×800","장비- 15.webp"
"HO-02","카테고리 홈","장비 사진","시술","800×800","장비- 16.webp"
"HO-02","카테고리 홈","장비 사진","시술","800×800","장비- 17.webp"
"HO-02","카테고리 홈","장비 사진","시술","800×800","장비- 18.webp"
"HO-02","카테고리 홈","장비 사진","시술","800×800","장비- 19.webp"
"HO-02","카테고리 홈","장비 사진","시술","800×800","장비- 2.webp"
"HO-02","카테고리 홈","장비 사진","시술","800×800","장비- 20.webp"
"HO-02","카테고리 홈","장비 사진","시술","800×800","장비- 21.webp"
"HO-02","카테고리 홈","장비 사진","시술","800×800","장비- 22.webp"
"HO-03","기간으로 찾기 - 결과","장비 사진","시술","800×800","장비- 23.webp"
"HO-03","기간으로 찾기 - 결과","장비 사진","시술","800×800","장비- 24.webp"
"HO-03","기간으로 찾기 - 결과","장비 사진","시술","800×800","장비- 25.webp"
"HO-03","기간으로 찾기 - 결과","장비 사진","시술","800×800","장비- 4.webp"
"HO-03","기간으로 찾기 - 결과","장비 사진","시술","800×800","장비- 5.webp"
"HO-03","기간으로 찾기 - 결과","장비 사진","시술","800×800","장비- 6.webp"
"HO-03","기간으로 찾기 - 결과","장비 사진","시술","800×800","장비- 7.webp"
"HO-03","기간으로 찾기 - 결과","장비 사진","시술","800×800","장비- 8.webp"
"HO-03","기간으로 찾기 - 결과","장비 사진","시술","800×800","장비- 9.webp"
"HO-03","기간으로 찾기 - 결과","장비 사진","시술","800×800","장비- 1.webp"
"HO-04","결과 없음 - 그 기간에 빈 장비가 없음","장비 사진","시술","800×800","장비- 10.webp"
"HO-04","결과 없음 - 그 기간에 빈 장비가 없음","장비 사진","시술","800×800","장비- 11.webp"
"HO-04","결과 없음 - 그 기간에 빈 장비가 없음","장비 사진","시술","800×800","장비- 12.webp"
"HO-04","결과 없음 - 그 기간에 빈 장비가 없음","장비 사진","시술","800×800","장비- 13.webp"
"HO-05","기획전·특가","장비 사진","시술","800×800","장비- 14.webp"
"HO-05","기획전·특가","장비 사진","시술","800×800","장비- 15.webp"
"HO-05","기획전·특가","장비 사진","시술","800×800","장비- 16.webp"
"HO-05","기획전·특가","장비 사진","시술","800×800","장비- 17.webp"
"MY-01","내 대여 내역","장비","시술","400×400","장비- 18.webp"
"MY-01","내 대여 내역","장비","시술","400×400","장비- 19.webp"
"MY-01","내 대여 내역","장비","시술","400×400","장비- 2.webp"
"MY-02","대여 상세","정면","시술","800×600","장비- 20.webp"
"MY-02","대여 상세","옆면","시술","800×600","장비- 21.webp"
"MY-02","대여 상세","바닥","시술","800×600","장비- 22.webp"
"MY-02","대여 상세","보관가방","시술","800×600","장비- 23.webp"
"MY-03","후기 쓰기","장비","시술","400×400","장비- 24.webp"
"MY-03","후기 쓰기","사진 1","시술","800×600","장비- 25.webp"
"MY-03","후기 쓰기","사진 2","시술","800×600","장비- 4.webp"
"MY-03","후기 쓰기","사진 3","시술","800×600","장비- 5.webp"
"MY-03","후기 쓰기","사진 4","시술","800×600","장비- 6.webp"
"PD-01","장비 목록","장비 사진","시술","800×800","장비- 7.webp"
"PD-01","장비 목록","장비 사진","시술","800×800","장비- 8.webp"
"PD-01","장비 목록","장비 사진","시술","800×800","장비- 9.webp"
"PD-01","장비 목록","장비 사진","시술","800×800","장비- 1.webp"
"PD-01","장비 목록","장비 사진","시술","800×800","장비- 10.webp"
"PD-01","장비 목록","장비 사진","시술","800×800","장비- 11.webp"
"PD-01","장비 목록","장비 사진","시술","800×800","장비- 12.webp"
"PD-01","장비 목록","장비 사진","시술","800×800","장비- 13.webp"
"PD-02","장비 상세","장비 대표 사진","시술","1200×900","장비- 14.webp"
"PD-02","장비 상세","시술","시술","400×300","장비- 15.webp"
"PD-02","장비 상세","시술","시술","400×300","장비- 16.webp"
"PD-02","장비 상세","시술","시술","400×300","장비- 17.webp"
"PD-02","장비 상세","시술","시술","400×300","장비- 18.webp"
"PD-02","장비 상세","시술","시술","400×300","장비- 19.webp"
"PD-02","장비 상세","장비 사진","시술","800×800","장비- 2.webp"
"PD-02","장비 상세","장비 사진","시술","800×800","장비- 20.webp"
"PD-02","장비 상세","장비 사진","시술","800×800","장비- 21.webp"
"PD-05","대여 불가 - 그 날짜 마감","장비 사진","시술","800×800","장비- 22.webp"
"PD-05","대여 불가 - 그 날짜 마감","장비 사진","시술","800×800","장비- 23.webp"
"PD-06","세트 패키지","패키지 전체 사진","시술","1200×900","장비- 24.webp"
"PD-06","세트 패키지","장비","시술","400×400","장비- 25.webp"
"PD-06","세트 패키지","장비","시술","400×400","장비- 4.webp"
"PD-06","세트 패키지","장비","시술","400×400","장비- 5.webp"
"PD-06","세트 패키지","장비","시술","400×400","장비- 6.webp"
"RT-01","수령 확인","정면","시술","800×600","장비- 7.webp"
"RT-01","수령 확인","옆면","시술","800×600","장비- 8.webp"
